p (bar),y_CO2,rho (mol/l),rho_unc (mol/l),lnZ_N2,lnZ_N2_unc,lnZ_CO2,lnZ_CO2_unc
0.01,0.0004,0.00040091001636791807,0.0,-15.236261096526185,0.001924576758420802,-23.061033719052826,0.002113029137894186
0.02,0.0004,0.0008018243324249765,0.0,-14.543119299817626,0.0019216613390224567,-22.367914682909216,0.002109307172272917
0.03,0.0004,0.0012027428993297252,1.632551109031896e-14,-14.13765955509003,0.0019188612638040676,-21.962477707400396,0.002105694364849235
0.04,0.0004,0.0016036656686405039,6.8677064101144554e-15,-13.84998282563378,0.0019161745000462508,-21.67482375573674,0.0021021887683952433
0.05,0.0004,0.002004592592314474,2.935138773271645e-16,-13.626844597015198,0.0019135990277255512,-21.451708313405312,0.002098788452602402
0.06,0.0004,0.002405523622705483,6.759289409023457e-15,-13.444528342701965,0.0019111328357267615,-21.26941485379573,0.002095491495592032
0.07,0.0004,0.0028064587125624734,1.3612335788467982e-14,-13.290382945225254,0.001908773924689241,-21.115292259361084,0.002092295991531177
0.08,0.0004,0.003207397815028122,3.3455286493208014e-15,-13.156856814905474,0.0019065203066461897,-20.981788940345286,0.002089200045664428
0.09,0.0004,0.003608340883635815,2.5403055560120234e-16,-13.039079021592476,0.0019043700070372272,-20.864033966522438,0.0020862017791845842
0.1,0.0004,0.004009287872309648,3.1941775606245737e-14,-12.933723728400622,0.0019023210641227035,-20.758701500931334,0.002083299328381274
0.2,0.0004,0.008018963501538176,5.6231204925794216e-14,-12.240627697541692,0.0018869850817641429,-20.065834176173496,0.0020591457358948365
0.3,0.0004,0.01202898328666566,5.980881613840893e-15,-11.835211841963815,0.0018797434169727102,-19.660647760373998,0.0020426463644706784
0.4,0.0004,0.016039307332177583,2.5953777555599824e-15,-11.547577204907896,0.0018789203714016714,-19.373243232440426,0.0020322318552011697
0.5,0.0004,0.020049899287800863,2.5427359201502724e-15,-11.324479349609083,0.001883045768327405,-19.150376096466545,0.002026534545116841
0.6,0.0004,0.024060726187394386,1.240827898190151e-15,-11.14220182497541,0.0018908602594086168,-18.968329846553175,0.0020243897689313736
0.7,0.0004,0.028071758284948282,1.650940179942667e-15,-10.988093586780478,0.0019013073868827735,-18.814453387320214,0.0020248263339666677
0.8,0.0004,0.032082968886768794,1.3810873546191568e-14,-10.854603116402881,0.0019135171211257104,-18.681195152108025,0.002027050061930998
0.9,0.0004,0.036094334179762634,2.655801052164683e-15,-10.73685955256812,0.0019267849207640802,-18.56368423430586,0.0020304236844392205
1.0,0.0004,0.04010583305633533,2.0977362126570333e-15,-10.631537125079552,0.0019405493334431825,-18.458594820766848,0.002034445578611207
2.0,0.0004,0.08022510505482423,2.6753149152517914e-15,-9.938707839993313,0.002046658703654554,-17.768107854232223,0.002060946499844909
3.0,0.0004,0.12034803167263164,3.509591284382827e-15,-9.53347953783189,0.0020610320638392845,-17.36522516321919,0.0020434737334359427
4.0,0.0004,0.1604738342802548,2.15883623408929e-15,-9.245986057983913,0.002016420863791807,-17.08006689874138,0.002013346007592789
5.0,0.0004,0.20060254545131592,2.15883623408929e-15,-9.023001119876382,0.001947193409856538,-16.859407332931145,0.00198751588629975
6.0,0.0004,0.24073263520148103,3.997387955274291e-15,-8.84081739674744,0.0018728631371976213,-16.679547233021893,0.0019672903135935383
7.0,0.0004,0.28086120184816177,8.281124062921938e-15,-8.686788052891336,0.0018029631273347106,-16.527848559177936,0.0019491694845346756
8.0,0.0004,0.32098477589080276,8.159633995307833e-15,-8.553363349993994,0.0017409825218637784,-16.396766955328097,0.0019291162785424203
9.0,0.0004,0.3611001660470501,5.1606056597024835e-15,-8.43567317145184,0.001686606705822435,-16.28143321350493,0.0019036339363430112
10.0,0.0004,0.40120519083783396,9.515686661236866e-15,-8.330392220826045,0.0016372537104934772,-16.178519431013616,0.0018699588455736206
0.01,0.1,0.00040091099845922793,2.424951932080489e-15,-15.3412213475513,0.0019245793584045828,-17.539576294051162,0.0021130145933667016
0.02,0.1,0.0008018282621761113,7.152380880560658e-15,-14.648079366256654,0.001921666523108435,-16.846460750197018,0.002109276777004542
0.03,0.1,0.0012027517443657671,6.4705443782247565e-15,-14.242619436966628,0.0019188690150556654,-16.441027266443108,0.0021056468613251575
0.04,0.1,0.0016036813986142436,8.280780553087872e-15,-13.954942522969624,0.001916184803057119,-16.15337680603489,0.002102122951641506
0.05,0.1,0.0020046171788764317,2.932368467063752e-16,-13.731804109830724,0.0019136118653538016,-15.930264854494338,0.002098703165813956
0.06,0.1,0.002405559039475847,1.2679645986821156e-14,-13.549487671015829,0.0019111481904064017,-15.747974885244103,0.002095385634618245
0.07,0.1,0.0028065069351031193,4.7954744823662897e-14,-13.395342089054264,0.001908791778145239,-15.593855780770124,0.0020921685026087473
0.08,0.1,0.0032074608208112984,8.434418836781641e-15,-13.261815774265717,0.0019065406402470181,-15.46035595134856,0.0020890499287914894
0.09,0.1,0.0036084206520201547,1.3814462795869546e-14,-13.14403779649786,0.0019043928010014444,-15.342604466783438,0.0020860280864000427
0.1,0.1,0.004009386384509865,5.864736934127504e-16,-13.03868231886381,0.001902346297886573,-15.237275490144084,0.0020831011639287082
0.2,0.1,0.008019358807654215,1.0257736984158282e-14,-12.345584443993276,0.00188703336468258,-14.544443044066094,0.002058665360545168
0.3,0.1,0.012029875351460537,6.990594099600433e-15,-11.940166744374412,0.0018798114251916897,-14.139291503521251,0.002041852304941125
0.4,0.1,0.016040897548271208,6.3268001335133405e-15,-11.652530262378555,0.0018790034160164058,-13.851921865736472,0.0020311415002967925
0.5,0.1,0.0200523902374748,3.9238423425603986e-15,-11.429430560624134,0.001883137842467691,-13.629089647885285,0.0020252067899283314
0.6,0.1,0.024064321419639902,3.657641834260217e-15,-11.247151187598583,0.001890954253972749,-13.447078353085313,0.0020229158116042635
0.7,0.1,0.02807666210683074,7.250289379080388e-15,-11.093041098803985,0.0019013953910132957,-13.293236891880067,0.002023319996387866
