N,lnPi(N),U(N)
0,-40.402177082911464,0.0
1,-36.69861685716176,2.07860132947164e-16
2,-33.68486939386983,-0.02761994339548554
3,-31.073484403271983,-0.08290275081825725
4,-28.746924096936127,-0.16569068550214844
5,-26.640128138959682,-0.27591309173784084
6,-24.71258870051048,-0.4138635955106923
7,-22.936414235430377,-0.5791538154864704
8,-21.290439121131435,-0.7719797667966197
9,-19.759559514863803,-0.9921455157859512
10,-18.330582979611975,-1.2397406549366479
11,-16.993706771419113,-1.5147275659033044
12,-15.740887524338087,-1.8170559354108444
13,-14.56533922399929,-2.146637599311514
14,-13.460749622657142,-2.503235856559848
15,-12.422331499236758,-2.8873196478571646
16,-11.445748704083684,-3.2983572140381066
17,-10.527033327790082,-3.7364420204663986
18,-9.66252558277612,-4.2012357318164115
19,-8.849032530385205,-4.6934048907297115
20,-8.083812160402056,-5.212252692659936
21,-7.364370326063003,-5.758755662154615
22,-6.6885030354459385,-6.33188760591521
23,-6.0547106168459734,-6.9314048099231655
24,-5.460879253200474,-7.557835586983843
25,-4.905290912083337,-8.211995144908766
26,-4.38596948948151,-8.892818708663832
27,-3.9021162502497972,-9.60064889889534
28,-3.4517470642035306,-10.334454057023523
29,-3.033949645766975,-11.095936355268828
30,-2.6474024010833332,-11.883749487418937
31,-2.2910748017275537,-12.697543445839306
32,-1.9639168848369408,-13.538538153130666
33,-1.6651591908126955,-14.405442776684103
34,-1.3936307028774522,-15.299271208394991
35,-1.1487264516157722,-16.219634193078864
36,-0.9290075601409105,-17.16745957531558
37,-0.7344470659130735,-18.140146587828177
38,-0.5645494160640543,-19.141152795391683
39,-0.4181852108352553,-20.166962622879755
40,-0.294543074570186,-21.217740266104983
41,-0.1935653194349598,-22.297493328255936
42,-0.11357789958526698,-23.404141941270662
43,-0.055595641473587865,-24.534966683791705
44,-0.017584932831596234,-25.69072341880884
45,0.0,-26.871508163782604
46,-0.002309683455912648,-28.080786918681998
47,-0.02373866599180774,-29.319897820055303
48,-0.06407950601983092,-30.581495167085784
49,-0.12261450030839471,-31.86784858140525
50,-0.19907935931580356,-33.180434575580904
51,-0.2937392344529077,-34.51732880154542
52,-0.4056518435548999,-35.882920106071516
53,-0.5345275942175935,-37.27470128955719
54,-0.6799946602208569,-38.69246982824278
55,-0.8414832801096361,-40.13504443460669
56,-1.0190567049420882,-41.605319751032745
57,-1.2128937073500756,-43.10384412771894
58,-1.421853998631569,-44.6237109590451
59,-1.6458547866059021,-46.16963775827726
60,-1.8844425011328028,-47.741579295281035
61,-2.1380620257702674,-49.336558959530535
62,-2.405854989196442,-50.96190704038366
63,-2.6882797146111272,-52.61251571644196
64,-2.984067068840723,-54.288210752987624
65,-3.2939378762471563,-55.98865004837331
66,-3.617656031694402,-57.71466142416156
67,-3.954986215915241,-59.4658091082701
68,-4.304731036449404,-61.24159057748307
69,-4.6674718105244395,-63.044413689022235
70,-5.043309139970987,-64.8751371508453
71,-5.43135837231916,-66.73309988266637
72,-5.832088063167809,-68.60922119345243
73,-6.243687071994188,-70.5169554975694
74,-6.668149835255932,-72.4484382314791
75,-7.10441907289165,-74.40394880281943
76,-7.552532539524215,-76.38712390660822
77,-8.012148102608107,-78.38987915981491
78,-8.483147096609457,-80.42436493534542
79,-8.965357569790495,-82.47891502323243
80,-9.45889344610863,-84.56214921483584
81,-9.963640152980075,-86.66909973981832
82,-10.479201012713418,-88.80025147481126
83,-11.005918018812054,-90.95961573183037
84,-11.543047286610408,-93.14225893464541
85,-12.09014706240021,-95.35392151021802
86,-12.648312518699948,-97.58346760689227
87,-13.2166019534324,-99.84036836808053
88,-13.794879656958456,-102.12985496846869
89,-14.383231472069243,-104.43843587831105
90,-14.981332546942616,-106.77363925079865
91,-15.589518392507186,-109.13670957521377
92,-16.207859534345097,-111.52449879637727
93,-16.8360418907034,-113.93292353167222
94,-17.473609031728643,-116.36550447827965
95,-18.121058215036015,-118.82173850532978
96,-18.77818175462876,-121.30361046322257
97,-19.444610907142398,-123.80890962372413
98,-20.119599878684042,-126.3432516325612
99,-20.80434418295846,-128.90160603299148
100,-21.498383648906916,-131.48104651002697
101,-22.201651680753805,-134.0957037208779
102,-22.914114631134375,-136.7338894954313
103,-23.63516178468781,-139.39408871133423
104,-24.364289381528273,-142.08232333226212
105,-25.10300823568751,-144.78947310583345
106,-25.84981492292347,-147.52219305090279
107,-26.606169629976378,-150.28116270044663
108,-27.371339881800274,-153.06400582905798
109,-28.144858198633493,-155.872909378454
110,-28.92662454693948,-158.70363713094267
111,-29.716687959413157,-161.55619494541543
112,-30.51551968608632,-164.4402012608133
113,-31.32294531835813,-167.34933963883807
114,-32.13877482370372,-170.28419090338537
115,-32.96273479726487,-173.24081068097763
116,-33.794458943761555,-176.22352157837992
117,-34.63484301289681,-179.23813242974077
118,-35.48338137344825,-182.28062230156758
119,-36.33998994424523,-185.33808733024853
120,-37.20461909381112,-188.419054840183
121,-38.07767427677681,-191.52572947346033
122,-38.95825017626605,-194.65685688850007
123,-39.846585628281055,-197.81284646725405
124,-40.74286058233878,-200.99403744420516
125,-41.64762575180333,-204.2013116837702
126,-42.559353033160036,-207.42985579956382
127,-43.47976471250914,-210.6893725084971
128,-44.40809913939198,-213.96780888349352
129,-45.34423243416704,-217.26047493412926
130,-46.28772031787055,-220.5835320169902
131,-47.238734848664194,-223.93600285187546
132,-48.19812842309919,-227.31893053128113
133,-49.164849105123025,-230.72900764018138
134,-50.13991024344641,-234.14869340355142
135,-51.122287307735974,-237.60916572249084
136,-52.11232705461219,-241.08441601223223
137,-53.10945972715386,-244.58928108187314
138,-54.11392379575484,-248.12144646246787
139,-55.12624195652619,-251.66903891138978
140,-56.14629647222994,-255.24804728565226
141,-57.17371827598302,-258.8503429213158
142,-58.208653284468596,-262.4840606805186
143,-59.25104007407984,-266.14078747996854
144,-60.300167520548875,-269.81818462964446
145,-61.3566576937577,-273.5213912099345
146,-62.42104377060461,-277.2412533991776
147,-63.49289979009569,-280.98966830127074
148,-64.57201993957892,-284.76936854226915
149,-65.65912915437526,-288.57613889668073
150,-66.75352872232429,-292.39473384880773
151,-67.85590493149061,-296.24447692156053
152,-68.96506577079069,-300.12268349097974
153,-70.08166202274032,-304.0228017532771
154,-71.20524324240817,-307.9456542241573
155,-72.3363786953528,-311.8878594052226
156,-73.475019478144,-315.87251474188
157,-74.62087292005718,-319.8695724828472
158,-75.77426521566977,-323.90245948102927
159,-76.9349194806714,-327.9553174061708
160,-78.10372242122656,-332.0233183577648
161,-79.27874554329352,-336.1326028886848
162,-80.46209742005317,-340.2520591684088
163,-81.65222762081316,-344.4085960490084
164,-82.85013029551683,-348.5762991837668
165,-84.05560646533837,-352.7723630575894
166,-85.26865598231988,-356.98173959246145
167,-86.4882295141841,-361.2289013207142
168,-87.7159865016442,-365.4969247023338
169,-88.95161500210163,-369.7906061262658
170,-90.19381887505524,-374.10930242007134
171,-91.44408782353908,-378.45771996239614
172,-92.70171195425495,-382.8323596024044
173,-93.9660314895064,-387.23737312542
174,-95.23844748610219,-391.6622158082724
175,-96.5185443219922,-396.10606515110413
176,-97.80658354043743,-400.57505920455577
177,-99.10176073133465,-405.0780775067549
178,-100.40461013255029,-409.5970028982822
179,-101.71460116560209,-414.14038890910274
180,-103.03222271862292,-418.72081805599623
181,-104.35741028476063,-423.3146365034498
182,-105.69105202100911,-427.93996499706464
183,-107.03109129625551,-432.60637663158263
184,-108.37843730489925,-437.2787478233038
185,-109.73391993400016,-441.9873244099844
186,-111.09778740617324,-446.6952027267011
187,-112.46925638827436,-451.45626897601744
188,-113.84819601335111,-456.20415216835187
189,-115.23426677548554,-460.9950649106734
190,-116.62844789961936,-465.8119510176519
191,-118.03081846082131,-470.6525251264715
192,-119.44017644262188,-475.533142146086
193,-120.8578215635894,-480.4238915202585
194,-122.28264352989609,-485.34765316432777
195,-123.71588250579764,-490.301557216806
196,-125.15705574753208,-495.2845248361122
197,-126.6055806228622,-500.2859322454826
198,-128.06289541841258,-505.3155402682372
199,-129.5284114972075,-510.3636203389319
200,-131.0017258207915,-515.4265182724856
201,-132.48274771233213,-520.5001807644251
202,-133.9719349721322,-525.6264335645002
203,-135.4701356485101,-530.7794272490779
204,-136.97525918703428,-535.9621897070009
205,-138.48870296527295,-541.1531417328249
206,-140.01076576933988,-546.3686873892633
207,-141.54109852880987,-551.6145145145133
208,-143.07910166652047,-556.8741772573412
209,-144.62530163306292,-562.1777277516467
210,-146.18017492630088,-567.5066328357111
211,-147.7433325083394,-572.8629861528542
212,-149.31524999634587,-578.2403690129556
213,-150.89478385219022,-583.6278956249661
214,-152.48377179597804,-589.0501725050674
215,-154.08085345446727,-594.5040592534931
216,-155.68777084507505,-599.9846907325423
217,-157.30208828579066,-605.4868347999475
