N,lnPi(N),U(N)
0,-460.35361128025653,0.0
1,-451.8650096038806,-14.682696087436943
2,-444.06383462394484,-29.059549772622763
3,-436.72053898490367,-43.0006926297815
4,-429.6835258905448,-56.59586929969122
5,-422.89296118281777,-69.93600497719702
6,-416.3433109073054,-82.94070301778305
7,-409.96273440028364,-95.6173975545805
8,-403.7443935880333,-108.0251427835007
9,-397.67777019588016,-120.17579888095393
10,-391.7348666337274,-132.14217457177648
11,-385.9223258295003,-143.89523210773933
12,-380.2167675829,-155.46848203723368
13,-374.6154119115306,-166.82867249738652
14,-369.109127108798,-178.02799062662908
15,-363.69304308031525,-189.12289140868234
16,-358.35655932033575,-200.10946077498846
17,-353.10525538949395,-210.90953959233264
18,-347.9153102726249,-221.682534325257
19,-342.7991805765086,-232.38765154383242
20,-337.7618554918087,-242.95577050755037
21,-332.7931620520699,-253.61624344209946
22,-327.8768398054448,-264.1297112312505
23,-323.0379822750149,-274.482142714949
24,-318.24527034955327,-284.9773105068052
25,-313.50971031401514,-295.38525107867036
26,-308.8312662545309,-305.8437555629577
27,-304.206956971279,-316.1581223848738
28,-299.62587971658854,-326.5750271945732
29,-295.09389886900414,-336.8951773644334
30,-290.6065921800656,-347.3185094562175
31,-286.1725682844758,-357.64570194297585
32,-281.78077328780233,-368.06340037347155
33,-277.43389804667294,-378.2965831781141
34,-273.1258942073938,-388.69924693540025
35,-268.86146923941703,-398.8589991953588
36,-264.64035485905447,-409.2163034025851
37,-260.45448084595415,-419.6495172183643
38,-256.31868874951954,-429.9624439993595
39,-252.2123411659883,-440.4134263450312
40,-248.14728801515776,-450.7437374117473
41,-244.11826077618827,-461.21357985952324
42,-240.13062279947056,-471.75350499448115
43,-236.1720645844735,-482.1791659716279
44,-232.25703598354502,-492.55819145127793
45,-228.3692374928579,-503.15071612475515
46,-224.5185761828746,-513.7445457792178
47,-220.69950800174783,-524.3438994503092
48,-216.91528624414974,-534.9347396053984
49,-213.1622362589582,-545.5210520626628
50,-209.44658502219966,-556.1668376899522
51,-205.76204395933544,-566.8306734288361
52,-202.1085731982235,-577.4750023362255
53,-198.4905259020797,-588.0753195746856
54,-194.89762934593773,-598.8000768925668
