N,lnPi(N),U(N)
0,-488.8884446434271,0.0
1,-481.0482751288987,-7.480788060586314
2,-473.8675374497322,-14.98620633959665
3,-467.10647791004993,-22.48346875927631
4,-460.64674815870853,-30.029093508589206
5,-454.39749665478723,-37.593261581241435
6,-448.33709485367154,-45.177327836433626
7,-442.4540269841492,-52.767558232038866
8,-436.68951626495783,-60.35603166811465
9,-431.04317480833475,-67.98914376304603
10,-425.5094398708391,-75.68541493334756
11,-420.0719616543845,-83.35564978464933
12,-414.7222206198869,-91.05426029774696
13,-409.46541078182435,-98.74395678558557
14,-404.2787711840589,-106.48271865035422
15,-399.1640948504187,-114.26948747888154
16,-394.11379695178664,-122.02512552579971
17,-389.1294393357777,-129.85056619463546
18,-384.20413564601984,-137.66997363814912
19,-379.34361834660433,-145.50300195984022
20,-374.53797887997956,-153.29221575642381
21,-369.7720174360189,-161.14994553382513
22,-365.0692688092356,-169.05628282845896
23,-360.40713955374554,-177.02136745289366
24,-355.8050646992653,-184.95237760202562
25,-351.23762014402536,-192.87364444916346
26,-346.7072216513908,-200.87218521542613
27,-342.2301140850791,-208.82434337801885
28,-337.7924750205452,-216.82421131199672
29,-333.3904941075698,-224.87337562428544
30,-329.02457614314847,-233.0056052776654
31,-324.69831846146366,-241.2018435449318
32,-320.40552888301926,-249.37341730366833
33,-316.1410225081822,-257.5414754543404
34,-311.9157623494398,-265.6855564296261
35,-307.72672025955455,-273.85622987562357
36,-303.57067223945637,-282.01358642177485
37,-299.4394395259812,-290.2703508801306
38,-295.3501199137065,-298.4841801643907
39,-291.2925319003929,-306.7648886073733
40,-287.2620392330393,-315.04314939376707
41,-283.2591096361466,-323.3982257996231
42,-279.28646572585046,-331.77884586486385
43,-275.33912789528483,-340.16916461343857
44,-271.42993889969785,-348.650216477
45,-267.54047254970675,-357.05859689968923
46,-263.68706958028713,-365.5162719913398
47,-259.8594404747621,-373.9699733242809
48,-256.06372535866115,-382.5176548922004
49,-252.29271052372357,-391.0546419859581
50,-248.54875025116667,-399.6198757600739
51,-244.82720943134822,-408.1915864103409
52,-241.13263106586083,-416.8395432384141
53,-237.45804706220753,-425.5374264069053
54,-233.81354793568892,-434.2540531052486
55,-230.19369338966612,-442.9892211861001
56,-226.59568404792003,-451.7773007524099
57,-223.0318493935618,-460.6513597783116
58,-219.4843384329567,-469.5288520671771
59,-215.96471706956828,-478.45351993302734
60,-212.4669583290007,-487.34494954586467
61,-208.99921237977952,-496.2806712667406
62,-205.5527637938216,-505.2053782624156
63,-202.13046577992662,-514.1684014096573
64,-198.73854450768886,-523.1959684200386
65,-195.36220477047067,-532.3303225255459
66,-192.0107078086441,-541.3915940544803
67,-188.68567404205157,-550.5140480775298
68,-185.38300921297463,-559.7980225261074
69,-182.10066943403064,-569.051964937947
70,-178.84038984116313,-578.3304873452361
71,-175.6120337213831,-587.6110808680588
72,-172.39864608691744,-596.9682527868853
73,-169.21444058992694,-606.3261543365883
74,-166.04694045444757,-615.6480394899202
75,-162.9042214801686,-625.1107436848177
76,-159.78698555426377,-634.5434318953551
77,-156.69455217518572,-644.0065671211423
78,-153.62115679127123,-653.6470872200713
79,-150.5763068038496,-663.3611191148921
80,-147.55466572576233,-673.0282873765651
81,-144.55293228291174,-682.7366181880349
82,-141.57364925221964,-692.4711942423708
83,-138.61617538526377,-702.183554061582
84,-135.6789860433185,-711.9139808619494
85,-132.76952368892955,-721.735528093529
86,-129.8937320560433,-731.6060149283751
87,-127.04139523661276,-741.3329351049593
88,-124.20791116307244,-751.1182947940254
89,-121.39767562193761,-761.1509259910584
90,-118.61724325446819,-771.1528196479924
91,-115.858187242554,-781.1437279489472
92,-113.11744644768761,-791.3383936144378
93,-110.41067755742718,-801.4734788505175
94,-107.72981245751329,-811.5927005833676
95,-105.0710505179011,-821.7523815788592
96,-102.43871490146701,-832.2981166203983
97,-99.8302731422133,-842.7701008616491
98,-97.25285464378585,-852.990442894024
99,-94.70338897247281,-863.3780251216567
100,-92.17507198290856,-873.9332968670794
101,-89.6657940741945,-884.3290529993224
102,-87.18834050167779,-894.8298774220078
103,-84.73069581534277,-905.3214482548698
104,-82.3059044942212,-915.7961015390259
105,-79.91201669164799,-926.389704990549
106,-77.55010735232334,-937.1015326218713
107,-75.20779858534043,-947.7092232542955
108,-72.89177916681327,-958.4488744297827
109,-70.60650512238426,-969.3285680773579
110,-68.34705043538862,-980.1259479753701
111,-66.11787799983138,-990.9715683553571
112,-63.9201098382161,-1002.0042991301754
113,-61.74661797598811,-1012.9706640990419
114,-59.61175743903045,-1024.010195839241
115,-57.511204671533456,-1034.959760310624
116,-55.4330152701507,-1045.8823070645
117,-53.3889809549051,-1057.0454012922821
118,-51.37471351452644,-1068.4038377196546
119,-49.39413630976669,-1079.5225276714928
120,-47.44560208929324,-1090.7183564100535
121,-45.52750644473401,-1101.9952088513835
122,-43.646911276671524,-1113.3143641522172
123,-41.79921964037198,-1124.526800673891
124,-39.991113697176054,-1135.9872195855705
125,-38.21129264589826,-1147.508896232546
126,-36.46854551023092,-1159.031809115154
127,-34.754780097262774,-1170.5702675958241
128,-33.080520029543216,-1182.0079820584858
129,-31.44328063902214,-1193.5569848205869
130,-29.847698410289702,-1204.8577982795732
131,-28.29452687148268,-1215.9905894729256
132,-26.773364034339643,-1227.2960898225354
133,-25.30138342189077,-1238.9019112452308
134,-23.858087210837944,-1250.468866718492
135,-22.45450160043908,-1261.9733209729516
136,-21.090548210973687,-1274.1500085237935
137,-19.754551789669684,-1286.4680268816187
138,-18.473498681955114,-1298.1709709518896
139,-17.24128939502453,-1310.0604595995494
140,-16.044957630409506,-1321.925386715304
141,-14.887877603823831,-1333.6811373371652
142,-13.783132334525597,-1345.29689786781
143,-12.71833861570611,-1356.6127749589546
144,-11.714109168848445,-1368.2823661853854
145,-10.751410514860375,-1380.21358617205
146,-9.834428305110244,-1391.93012254682
147,-8.966008001708481,-1404.0228313310354
148,-8.151188930287795,-1416.253100531254
149,-7.380774539080456,-1428.1158994941093
150,-6.6559211525429385,-1439.7867715976913
151,-5.987401667676758,-1451.8385890538848
152,-5.374036432132024,-1463.2880573228097
153,-4.807345560391647,-1475.1317481234348
154,-4.299250743369506,-1487.0601608138886
155,-3.8514961772446066,-1498.485569041501
156,-3.454412639284336,-1510.583652679778
157,-3.1181417769858593,-1522.165140941864
158,-2.843389219952777,-1533.768202959848
159,-2.631120529842641,-1545.4082584151822
160,-2.4652670309911935,-1557.2991143259965
161,-2.3610837580055284,-1569.0394237209132
162,-2.3132347563366773,-1581.0136877722132
163,-2.3286840548410703,-1592.9638685574228
164,-2.4144239859811103,-1604.352211978729
165,-2.56046033238301,-1616.2097042090488
166,-2.7721495261577696,-1628.1458090698109
167,-3.0435929898977827,-1639.4143949892896
168,-3.3729156752683673,-1650.7345022105274
169,-3.7755363775382955,-1662.1649219792653
170,-4.237491388669249,-1673.7386335159306
171,-4.784323104836127,-1684.878922323827
172,-5.3866266382255015,-1697.0310255006914
173,-6.065808460845582,-1708.626120439524
174,-6.81976542108965,-1719.468234366366
175,-7.612507725845327,-1731.0497704294255
176,-8.493215543721767,-1742.1432650232114
177,-9.454215474599899,-1753.4377779738966
178,-10.48436734450707,-1764.3487942265742
179,-11.591271046866275,-1775.723264076364
180,-12.777639279352577,-1786.1525226566212
181,-14.021336495413841,-1797.2103834746729
182,-15.334985630732554,-1809.1059623978902
183,-16.71732973013861,-1820.041979192631
184,-18.165519787729245,-1831.3645418706644
185,-19.71299354376442,-1842.217904786961
186,-21.331226188307546,-1853.2543332751986
187,-23.0156164783183,-1864.7713525204153
188,-24.778256755359344,-1876.4362907931832
189,-26.63568284255411,-1886.6811424882246
190,-28.549666635706167,-1897.7570985318002
191,-30.55339083229581,-1908.9376659542886
192,-32.61655250518482,-1919.4728165033493
193,-34.77716021483355,-1930.3277662111138
194,-36.99808333181159,-1940.854604070292
195,-39.32536795674714,-1951.904988784714
196,-41.720474457483256,-1963.7474072747764
197,-44.20095513860151,-1974.4213098833725
198,-46.736966686171634,-1985.2519679692512
199,-49.3680977027288,-1996.7689449905404
200,-52.11434665535763,-2008.4150874767179
201,-54.90311968377717,-2018.8958453906096
202,-57.79181904527537,-2029.4589829071433
203,-60.7666640271491,-2040.275483493946
204,-63.79428444230826,-2051.497795671111
205,-66.91765705726421,-2062.714678604537
206,-70.162420359622,-2073.6576726779335
207,-73.46166797863863,-2086.2659011569363
208,-76.88734370966661,-2095.6709222345594
209,-80.45245677996395,-2104.469155179588
210,-84.10589993893036,-2115.6103569226816
211,-87.84742065751114,-2126.4811459069024
212,-91.66759182457095,-2134.8254829548478
213,-95.63159848324445,-2146.73426519905
214,-99.65630166415549,-2156.1665715140725
215,-103.76878654875613,-2168.236743151274
216,-108.03934824839463,-2178.0132887327186
217,-112.42438451584833,-2188.47306346378
218,-116.90646731873422,-2199.2493327551706
219,-121.59204815415411,-2208.9093727123072
220,-126.35700860798404,-2218.5998572612207
221,-131.29878230294275,-2227.037531979807
222,-136.32644253104928,-2235.4754724569275
223,-141.37585682302387,-2245.7170898271806
224,-146.58768289776225,-2255.9235630596554
225,-151.94743114773155,-2265.3172793744993
226,-157.50727917075284,-2271.365150677325
227,-163.12708345473845,-2279.44738577016
228,-169.01402515470573,-2288.1957645948114
229,-174.9324287233382,-2294.3353343470185
230,-181.05979974405523,-2300.241676632602
231,-187.450197817069,-2301.2658211170938
232,-193.90177830585918,-2316.1834453265465
233,-200.31647375123606,-2323.7447274336305
