N,lnPi(N),U(N)
0,-1472.4347036538595,0.0
1,-1461.8016514928509,-14.900754393562254
2,-1451.9189845891437,-29.777077520709003
3,-1442.486822395178,-44.657147837905455
4,-1433.38830865784,-59.51444755160132
5,-1424.4741158307959,-74.34977005639726
6,-1415.8028111208612,-89.2399895558022
7,-1407.2176300238125,-104.06980106029373
8,-1398.840489738182,-118.83340014624152
9,-1390.5757973012594,-133.6649825542521
10,-1382.4418577785982,-148.47989261383688
11,-1374.3854196772597,-163.29699081701028
12,-1366.4018111503271,-178.07237047378118
13,-1358.5453666442704,-192.86096598656576
14,-1350.721391069088,-207.60329286575376
15,-1343.019445820547,-222.32027390701217
16,-1335.3761616152203,-237.05438785605688
17,-1327.8530708184514,-251.7456808711564
18,-1320.385096013725,-266.4872238044547
19,-1312.9995498838073,-281.19417856792813
20,-1305.6469614149053,-295.83865892746957
21,-1298.330794498531,-310.4479567917952
22,-1291.0985003913554,-325.1347491737508
23,-1283.9022580844164,-339.7754638656492
24,-1276.7651219539232,-354.39835849646704
25,-1269.6618660322392,-368.9520131605156
26,-1262.6803855320145,-383.4869046298878
27,-1255.687274067434,-398.05802942192497
28,-1248.7511305487294,-412.63641177202203
29,-1241.8517604460258,-427.20102055347957
30,-1235.01147421012,-441.7075242218988
31,-1228.1990397944,-456.2500062989998
32,-1221.4545689221027,-470.7070252725751
33,-1214.7449198340325,-485.13763943408173
34,-1208.0878380501244,-499.58254789913684
35,-1201.4466647310894,-513.9796966051317
36,-1194.8615526181209,-528.4515752742913
37,-1188.32884989793,-542.8616487748722
38,-1181.8193589046843,-557.15917811283
39,-1175.3384814213255,-571.446227006161
40,-1168.9290109711146,-585.8298268811945
41,-1162.529511541598,-600.14318069857
42,-1156.1888984397995,-614.3961170710417
43,-1149.8651592669473,-628.7704925220258
44,-1143.5482949515533,-642.9857525924373
45,-1137.3100698028875,-657.2739392566002
46,-1131.1001687690673,-671.5714934444651
47,-1124.915060288447,-685.8595391676947
48,-1118.7747173952403,-700.097699195101
49,-1112.6484108185405,-714.398450266577
50,-1106.5277135313586,-728.5945452577071
51,-1100.462939411108,-742.818494527981
52,-1094.4396591344232,-757.1641936465546
53,-1088.4335123305773,-771.2227621166921
54,-1082.4604174171957,-785.3381579683593
55,-1076.5203054239098,-799.2378726388949
56,-1070.6201147723061,-813.2581442431225
57,-1064.727778268083,-827.3137064865738
58,-1058.89114076569,-841.3892656358898
59,-1053.0853654082416,-855.3586501206917
60,-1047.281449261833,-869.3209300597221
