N,lnPi(N),U(N)
0,-826.1025334377662,0.0
1,-817.0519523552015,-10.345482610848615
2,-808.6504833660849,-20.70118771264056
3,-800.6446794381102,-31.087275706298954
4,-792.9282739465561,-41.49262369354564
5,-785.401937510336,-51.93648959393856
6,-778.089521667044,-62.35587626283564
7,-770.9454538165671,-72.81488683920954
8,-763.9623967328273,-83.25146531656634
9,-757.0610251824187,-93.74032284007214
10,-750.2990298647599,-104.27803808088251
11,-743.6284101592628,-114.78788172355979
12,-737.0533668658419,-125.36978257158749
13,-730.5521125951616,-135.96217032252346
14,-724.1190422825149,-146.6154921944742
15,-717.7688861455894,-157.19686801010877
16,-711.4812234807173,-167.84273073148003
17,-705.2570460751041,-178.48933173961575
18,-699.0958541558915,-189.18941718979482
19,-692.9837658340758,-199.95324803429386
20,-686.9536611523536,-210.66015989188855
21,-680.9818559907133,-221.39976779215638
22,-675.0517668496124,-232.22120244574
23,-669.1673824259614,-243.02568469960116
24,-663.312694456196,-253.83888109386174
25,-657.5232369725295,-264.671176780139
26,-651.7641023407358,-275.4932476316454
27,-646.0725324688614,-286.346624861691
28,-640.3962596227495,-297.1898135704258
29,-634.7470116759552,-308.16603442228325
30,-629.1621771432725,-319.0483170085565
31,-623.588440990552,-329.9643556551572
32,-618.0917899495372,-340.9104061730583
33,-612.6027432533433,-351.9258305395783
34,-607.1452719512467,-362.97689840199945
35,-601.715121681246,-374.0191857513191
36,-596.341887562185,-385.10829039638276
37,-590.9850702489376,-396.13143229539344
38,-585.6532604877566,-407.2350892683995
39,-580.354160816899,-418.34033794154686
40,-575.0951177213245,-429.3920361745613
41,-569.8677988426481,-440.5240755560834
42,-564.6640627650653,-451.7175177752892
43,-559.5084744771667,-463.0076234450783
44,-554.3737131344324,-474.3045014605284
45,-549.2512936716815,-485.5483523639291
46,-544.1605868466005,-496.8987384819809
47,-539.0980219899258,-508.2140724484923
48,-534.0590047582131,-519.5930044125945
49,-529.051068920935,-530.8917012569701
50,-524.0717223982514,-542.2964297133938
51,-519.106647782654,-553.5796191146325
