N,lnPi(N),U(N)
0,-31.75797398855951,0.0
1,-28.353666635811233,-0.0004616825979160567
2,-25.634596828558237,-0.06458531461203836
3,-23.313298304416158,-0.19194490027547856
4,-21.272503843025575,-0.38261359046015087
5,-19.446678347405076,-0.635900699383996
6,-17.79531018740595,-0.9531839726837434
7,-16.28965362335119,-1.3335085477194575
8,-14.910479855459627,-1.7757523039508858
9,-13.641320187619574,-2.282433249847102
10,-12.468625701238238,-2.8511075590716217
11,-11.384226093368088,-3.4808669307266293
12,-10.379970570885003,-4.172634820420142
13,-9.447495049373671,-4.927837988163393
14,-8.581131920132368,-5.749240811305339
15,-7.776932545884509,-6.62352471638113
16,-7.0285918860356125,-7.565343566546067
17,-6.333402360200297,-8.567829238210336
18,-5.687788968879198,-9.632863669708694
19,-5.089794855394843,-10.760157203276714
20,-4.535299851287828,-11.947667013876522
21,-4.0221450254018976,-13.195274155315161
22,-3.547820880023142,-14.50746134280545
23,-3.110054770335772,-15.880164762824974
24,-2.7080424494750055,-17.31435530485914
25,-2.340287308127074,-18.80517262995056
26,-2.0038930006948803,-20.35250333111664
27,-1.6974108349323842,-21.960911137652296
28,-1.4198857500571265,-23.62621791033279
29,-1.171044035874071,-25.359347069545162
30,-0.9503795616295321,-27.146972838603762
31,-0.7548890783759603,-28.99288983264735
32,-0.5833188066334642,-30.908927526439392
33,-0.4355011952429635,-32.87444689931689
34,-0.3111772096886334,-34.91141667254025
35,-0.2085873737980961,-37.005861313918714
36,-0.12721590252260384,-39.15468675718688
37,-0.06600897435073705,-41.3668355584813
38,-0.024336257903570413,-43.62706744760207
39,-0.0029320458165678076,-45.952597280594986
40,0.0,-48.3425500722813
41,-0.014868386848764459,-50.78385614405369
42,-0.04640449053583806,-53.27956536323941
43,-0.0948228241936313,-55.83927939396399
44,-0.15840194442618882,-58.451916091275045
45,-0.23936531459932198,-61.11721863783045
46,-0.3347777825018632,-63.85151194819862
47,-0.44509498226263444,-66.64634531264882
48,-0.5693976063046224,-69.49138887999548
49,-0.7085285454000001,-72.3879424195437
50,-0.8621844532523011,-75.36197612793896
51,-1.0287509750629584,-78.3755033621385
52,-1.2072457248537098,-81.44047090216112
