N,lnPi(N),U(N)
0,-255.93208075722092,0.0
1,-249.48786641396822,-19.626873033790616
2,-243.7580466102107,-39.17718610254087
3,-238.45468296688486,-58.57066760536691
4,-233.44419521568332,-78.03925119314226
5,-228.67705273955656,-97.33040971992887
6,-224.10808691465445,-116.59845664374734
7,-219.70329912219964,-135.826190582462
8,-215.4554014717297,-154.95025776327384
9,-211.33133966972508,-173.9686070848038
10,-207.3360406511299,-192.83994190533122
11,-203.44735090696489,-211.6527182412101
12,-199.65387306266138,-230.4816693483881
13,-195.94815105864635,-249.19234716254869
14,-192.3347440311547,-267.7180059887032
15,-188.79337448972754,-286.2886555474106
16,-185.3299740632566,-304.6905377597359
17,-181.9401599289328,-323.03286864799156
18,-178.61312022394256,-341.2423669603377
19,-175.3570210775654,-359.6487298330103
20,-172.1562556590986,-378.1826577991378
21,-169.02083580563578,-396.506287846707
22,-165.93903572928318,-414.5848872035567
23,-162.90834935095685,-432.6893591950138
24,-159.927481295149,-450.75292477228504
25,-156.99241910354885,-468.70479254156817
26,-154.11390414344598,-486.78584727380803
27,-151.27280618811517,-504.8606999722615
28,-148.4770317622554,-522.8540501448879
29,-145.72375570984624,-540.8330805278893
30,-143.00207992227817,-558.7171142307925
31,-140.3292295772596,-576.589977904543
32,-137.692565170457,-594.2470676838129
33,-135.09488814729144,-612.1064577087673
34,-132.5361370586949,-630.0996730080878
35,-130.00903103025087,-648.0268214241805
36,-127.51827816500273,-666.0995277773764
37,-125.06230321774328,-683.963327383186
38,-122.64424824907746,-701.9842769920724
39,-120.24637502683231,-720.0191096076232
40,-117.88822590078613,-738.2869211290817
41,-115.55852872031008,-756.2911593582467
42,-113.26484423461551,-774.4074005922957
43,-110.99272962497756,-792.6019196708658
44,-108.7503255740348,-810.4576655906931
45,-106.53598430261198,-828.3777730062866
46,-104.3518813613037,-846.5223813612974
47,-102.19424227874492,-864.6658671308251
48,-100.06730930063367,-882.912083671843
49,-97.95985730785836,-901.0666166906376
50,-95.87444705269462,-919.5047042699443
51,-93.81105827949057,-938.0535519484329
52,-91.77557999378425,-956.3265536087492
53,-89.76199729421526,-974.770085368873
54,-87.78170641858543,-993.2902905902738
55,-85.81700491868767,-1011.7076579759596
56,-83.88145368491325,-1030.2205636597137
57,-81.9631698859441,-1048.7115321111996
58,-80.07089199543208,-1067.206114312059
59,-78.2001777721193,-1085.4844907635706
60,-76.35046526958186,-1104.792823778058
61,-74.52458580381904,-1123.824128215594
62,-72.72161590212048,-1142.318259948166
63,-70.94416900614362,-1160.9377480662224
64,-69.18043611937898,-1179.7700437800304
65,-67.44382562725534,-1198.7976523318648
66,-65.72773690040617,-1217.910886776277
67,-64.03242283780489,-1236.7918831041316
68,-62.35567520408383,-1256.373091635949
69,-60.701515096915976,-1275.4928060483799
70,-59.071775016661825,-1294.6428863680776
71,-57.46210556562209,-1313.7136572103263
72,-55.87494725972183,-1332.9316320317157
73,-54.31053717490163,-1352.4447685691048
74,-52.75537032559111,-1371.7444213816489
75,-51.22874765105032,-1391.2366108312344
76,-49.72613940536095,-1410.9660891295644
77,-48.2424016734653,-1430.7415109717476
78,-46.77880639326374,-1450.394516460714
79,-45.33836667478371,-1469.8262558815259
80,-43.91173916942059,-1489.768664723575
81,-42.50776849500689,-1509.5858695895877
82,-41.128213251668505,-1529.3188935081052
83,-39.76670299115306,-1549.2227552594195
84,-38.43510556648993,-1569.4955879496556
85,-37.11291847883941,-1589.791818086058
86,-35.81814679303047,-1610.2765022716048
87,-34.55070873175935,-1630.394712578105
88,-33.30495536536602,-1651.1651061458542
89,-32.07042135979611,-1671.853885188888
90,-30.858419938811885,-1692.4789513467767
91,-29.669807806649736,-1713.3873480127731
92,-28.506062729412996,-1734.6335665742881
93,-27.359829683198676,-1755.2015743990414
94,-26.22459348994527,-1776.5570180529612
95,-25.112730362237947,-1797.7062459317822
96,-24.034558693038115,-1818.7561412966388
97,-22.97775131818235,-1839.7854900472303
98,-21.94227702535536,-1861.2449493567765
99,-20.93426942166996,-1882.6076855076244
100,-19.946872322462063,-1904.3085599784608
101,-18.98050887651666,-1926.1449461214506
102,-18.039992850782106,-1948.3192024393866
103,-17.118902549177214,-1970.3180050937808
