N,lnPi(N),U(N)
0,-245.40978390395497,0.0
1,-239.87599309002155,-11.623777981862077
2,-235.02279044340432,-23.287497936686123
3,-230.56680832205058,-34.97897465955248
4,-226.40228450646416,-46.60866335915125
5,-222.4609492318001,-58.29417787136481
6,-218.69776249525776,-69.99781257479844
7,-215.0830054482381,-81.71021597912113
8,-211.60370408612033,-93.43813445072374
9,-208.2299970848349,-105.22346167316209
10,-204.95970999434883,-116.98163243664749
11,-201.77840851023402,-128.76864204211597
12,-198.68005287559498,-140.68427848865394
13,-195.6615122717928,-152.5700680197151
14,-192.7153243418651,-164.464800205933
15,-189.82997841183087,-176.37690998423932
16,-187.0044632108585,-188.27583029227753
17,-184.23794565458755,-200.33230006918166
18,-181.52244620922409,-212.31765600915242
19,-178.85788518023776,-224.3947422017518
20,-176.2413151966635,-236.47008197044852
21,-173.66971148798814,-248.53484023315832
22,-171.13729212976378,-260.50959321034316
23,-168.64992544568133,-272.75562352505585
24,-166.19795283828432,-284.99989520771487
25,-163.78339686827408,-297.25434406896966
26,-161.40317340954147,-309.56882984319964
27,-159.056264045506,-321.8631042000925
28,-156.74397248174768,-334.2284128281135
29,-154.46472819546122,-346.6863615786315
30,-152.21768008950494,-359.06455368409297
31,-149.99499383402417,-371.450423891074
32,-147.8084433397417,-383.95955495157614
33,-145.6460154945591,-396.5419646284681
34,-143.50774224059646,-409.27527261852083
35,-141.39169002120389,-421.8909826885392
36,-139.2953784001603,-434.83038149309505
37,-137.22445690109828,-447.7264686452472
38,-135.1805911581925,-460.55602326853113
39,-133.16334804499064,-473.3582736018325
40,-131.1616994323373,-486.3091506898345
41,-129.18111035886753,-499.191133483906
42,-127.22231536004567,-512.1741304350471
43,-125.28333691219952,-525.2014846796519
44,-123.3681450733127,-538.209675860744
45,-121.47154080132279,-551.2514835528928
46,-119.59352828695397,-564.4373790311292
47,-117.7267917088131,-577.6936692109193
48,-115.8811515324279,-590.9440692617791
49,-114.05047262933913,-604.2617780373621
50,-112.23375119693502,-617.6901313705566
51,-110.4418841753306,-631.2063299051079
52,-108.66011533943454,-644.6228968288815
53,-106.89505305912051,-658.2237940701852
54,-105.15125283585867,-671.7855888977028
55,-103.41963188237891,-685.5984875770409
56,-101.70617376965235,-699.4526924713173
57,-99.99786079641727,-713.4486324006211
58,-98.30779622012729,-727.5023542771305
59,-96.63027121359089,-741.480346088716
60,-94.9686025549939,-755.3615255028017
61,-93.32297290835298,-769.3905690587308
62,-91.69249822766055,-783.4942335992055
63,-90.0748497981058,-797.6540429310262
64,-88.47324631123693,-811.8868392302538
65,-86.88145104750343,-826.1076170315573
66,-85.30186291564881,-840.4497261597826
67,-83.73731479882291,-854.3679965993579
68,-82.19054540151872,-868.7213457894177
69,-80.65260054779664,-883.381452577345
70,-79.12200660561429,-897.9950968415542
71,-77.61102378988319,-912.650446840893
72,-76.103790895536,-927.5594762141991
73,-74.61934927608097,-942.360993469687
74,-73.1440106156973,-957.335244419668
75,-71.68533905313349,-972.1372842276942
76,-70.23733168396511,-987.4111132905455
77,-68.80248572053169,-1002.6687691542866
78,-67.37699841734987,-1017.9376931487859
79,-65.96391424987367,-1033.4776274494761
80,-64.56305522916516,-1048.8564843120548
81,-63.173237580085,-1064.320010589665
82,-61.78630632794132,-1079.9314843665888
83,-60.408957330227125,-1095.7684939900537
84,-59.04652794432097,-1111.4197894239733
85,-57.694240036628756,-1126.9486681942835
86,-56.35276178584171,-1142.7806232628827
87,-55.028205784172755,-1158.672118852366
88,-53.71315481639708,-1174.6989553786043
89,-52.4126232169957,-1190.5133271566083
90,-51.125323297020444,-1206.6172851853007
91,-49.85410920667822,-1222.9952478270425
92,-48.58785146472498,-1239.6314375032234
93,-47.33603040018188,-1256.0887976138292
94,-46.094337544293026,-1272.6108722149256
95,-44.86601873482668,-1289.1272511229472
96,-43.648406870262605,-1305.8426963330676
97,-42.447054851439745,-1322.575939266757
98,-41.256695146978515,-1339.45782474093
99,-40.080604512150515,-1356.4228184058084
100,-38.91461185151688,-1373.4056988668453
101,-37.761756027668056,-1390.5781271293017
102,-36.62182798983228,-1407.7587888929484
