N,lnPi(N),U(N)
0,-853.10729528025,0.0
1,-844.382367367717,-20.5514528323547
2,-836.2993632084124,-41.0915561147267
3,-828.6584489527681,-61.69533167761983
4,-821.3004497032085,-82.29409752989886
5,-814.2043770397544,-102.87242762034293
6,-807.2942259669001,-123.49738001194783
7,-800.5252644035498,-144.1438158354722
8,-793.8961848145846,-164.87788791570347
9,-787.4048353505565,-185.5750539318542
10,-780.9861890479868,-206.3360968994093
11,-774.6879650992224,-227.03118614316918
12,-768.4959765280959,-247.73320744844386
13,-762.3841352775913,-268.44470414100215
14,-756.3525617370705,-289.21369667432737
15,-750.4000054972761,-310.1149548285175
16,-744.5072639433537,-330.8415247578523
17,-738.6995216882877,-351.73678479954833
18,-732.9472717638903,-372.6671188217588
19,-727.2729120942571,-393.5493341946858
20,-721.659115976457,-414.38465365272714
21,-716.0842914015982,-435.25625873950776
22,-710.5710850048952,-456.279784214159
23,-705.1105397713848,-477.19042803614866
24,-699.7019539047202,-498.12641130614793
25,-694.314475566386,-519.1136197857559
26,-689.0154073373936,-540.2276375775691
27,-683.7349557327444,-561.2898173776921
28,-678.494970269829,-582.240327652311
29,-673.3000418590697,-603.3159207020653
30,-668.1615120353763,-624.4276961046271
31,-663.0446214306427,-645.5823589250795
32,-657.9785700705107,-666.7271175467758
33,-652.9317012719065,-687.8844541211729
34,-647.9195174882578,-708.9938678101753
35,-642.9807604093864,-730.184762844583
36,-638.0560969900667,-751.3796704605338
37,-633.1619908340423,-772.5102114509791
38,-628.301926990317,-793.5061271357699
39,-623.4738500159601,-814.7309627245413
40,-618.6857419221079,-836.1207804209553
41,-613.925326698589,-857.5571734086261
42,-609.1996123040454,-878.8656507784035
43,-604.4946983793744,-900.0026564786094
44,-599.8332790235787,-921.1633765752194
45,-595.2060833216234,-942.5057736678864
46,-590.5991478954144,-964.1180522356299
47,-586.0182165345716,-985.4429538341356
48,-581.4747620285733,-1006.9341503402102
49,-576.9470898187242,-1028.453623543959
50,-572.4571929448795,-1049.9173306048615
51,-567.9819603356059,-1071.4654170250287
52,-563.5442935751462,-1092.7639786269283
53,-559.1356817404452,-1114.0158433002653
54,-554.755593742247,-1135.2888475292712
55,-550.3911159135945,-1156.884848234593
56,-546.0608802797714,-1178.5390503313392
57,-541.74573526176,-1200.0520561190206
58,-537.4573167300224,-1221.5145902855438
59,-533.2068177660242,-1243.136969594285
60,-528.9821739971718,-1264.9358230010257
61,-524.7869370810757,-1286.4611606919789
62,-520.6164972761941,-1308.0544466050342
63,-516.459978716105,-1329.8312746623415
64,-512.3304893665457,-1351.5160613702028
65,-508.2204501969122,-1373.1348412397201
66,-504.1335678564096,-1394.6941411230946
67,-500.06044871507925,-1416.5652835180517
68,-496.02819296216387,-1438.3519916075747
69,-492.0238431612349,-1460.0059694256051
70,-488.02888466191325,-1481.3769218681846
71,-484.0585133303245,-1503.0658816227224
72,-480.1103819372015,-1524.7051519487286
73,-476.1834921814098,-1546.4660086999647
74,-472.2752087361715,-1568.4201557760825
75,-468.3854903139285,-1590.0980555740534
76,-464.52584201645544,-1611.9195900499471
77,-460.6713994287914,-1633.8292518403614
78,-456.85467268375584,-1655.3294002012117
79,-453.05917244971215,-1676.8384199716384
80,-449.2825345515511,-1698.3633018711698
81,-445.51704567928095,-1720.45641363709
82,-441.76934160868524,-1743.0357177917613
83,-438.0437423682277,-1765.660990174627
84,-434.3286395121139,-1787.263277236023
85,-430.6518055838492,-1808.960489737161
86,-426.99084874812326,-1830.9071874812362
87,-423.3506322753986,-1852.5051984043675
88,-419.7259288937055,-1874.4180452464498
89,-416.1190044047618,-1896.6118744601263
90,-412.52905432263327,-1918.8978495557676
91,-408.95255627212896,-1941.0763988814433
92,-405.393539458088,-1963.2722445034888
93,-401.8682687928281,-1984.9067233951064
94,-398.34991947805463,-2006.912279876764
95,-394.8543306254959,-2029.3786798581714
96,-391.3754830158766,-2051.4450080529787
97,-387.917852162355,-2072.476462451683
98,-384.48226764006193,-2093.4838036106084
99,-381.06671572595684,-2115.449461833574
100,-377.6693527073555,-2137.3474775745417
101,-374.2901001904538,-2159.3233024404617
102,-370.937245091414,-2181.1770245144726
103,-367.594493724185,-2203.0419059792766
104,-364.267670505644,-2225.1202458796324
105,-360.9635990019942,-2247.1266782890307
106,-357.6698377483558,-2269.107316906913
107,-354.3999646983024,-2291.2223262878833
108,-351.1493338670809,-2313.162845953426
109,-347.91109458806824,-2335.329962591233
110,-344.6953550644768,-2357.419345753093
111,-341.4970588358727,-2379.5738070175867
