N,lnPi(N),U(N)
0,-273.94850740274046,0.0
1,-267.89178293443035,-13.1577464140355
2,-262.53926089138963,-26.35728476078657
3,-257.5789360033787,-39.603607408556854
4,-252.91179621064452,-52.891996961865516
5,-248.47770703470556,-66.17715202236286
6,-244.22573995822998,-79.49111875110248
7,-240.1186576194302,-92.90690727415495
8,-236.15175121477293,-106.34909643105493
9,-232.30129306776442,-119.73634658307128
10,-228.55723271977973,-133.22656233377347
11,-224.9092909941362,-146.73645550250512
12,-221.34625461779345,-160.3899017794247
13,-217.8567539385459,-173.9837309917566
14,-214.44172120948048,-187.7149900071454
15,-211.09522272417607,-201.41919820539624
16,-207.82360523560644,-215.150486967701
17,-204.60815423473116,-228.90275369780284
18,-201.45452107406342,-242.70514552645182
19,-198.35147260470794,-256.5486958733236
20,-195.30023883828954,-270.4478346696196
21,-192.2998276131024,-284.42128885519196
22,-189.34698083695454,-298.29224599799636
23,-186.43450613907103,-312.242057976473
24,-183.56176298444984,-326.42694793109695
25,-180.73314205428872,-340.6360620841515
26,-177.95011135007545,-354.807941931198
27,-175.20141479615427,-368.9571130223412
28,-172.49227868868766,-383.156894977561
29,-169.82416828425352,-397.4856926394932
30,-167.18505376210882,-411.6598193867685
31,-164.58091021645197,-426.10481167669786
32,-162.01018157254722,-440.53510206681676
33,-159.46555526901582,-454.9621210688056
34,-156.95620996974446,-469.4012004818942
35,-154.4793834844238,-483.7182682287894
36,-152.0296554782831,-498.1578091393676
37,-149.61538591885935,-512.7321072223858
38,-147.22647529788463,-527.4520197392121
39,-144.8665939041858,-541.9924320540667
40,-142.52726546455594,-556.7259455006424
41,-140.21556988101298,-571.4094721455986
42,-137.9315513900209,-586.0744401515694
43,-135.67784788420715,-600.8101706383532
44,-133.4481723680183,-615.7399337311945
45,-131.24166403877916,-630.7326986290573
46,-129.05265770287897,-645.7025889341894
47,-126.89863507007016,-660.5404119373925
48,-124.75981691728293,-675.531173268042
49,-122.6443610122248,-690.5540155749113
50,-120.55178351126332,-705.6639346812299
51,-118.48370653826152,-720.7625197832313
52,-116.43562624860678,-736.0114874415012
53,-114.41574013590204,-751.2228471951603
54,-112.41069351267149,-766.4897045703474
55,-110.42764469692872,-781.8338473222902
56,-108.4631851530637,-797.4328001692484
57,-106.52241947261015,-812.761031304588
58,-104.60093058900324,-828.2481664209263
59,-102.7004156356297,-843.884266472327
60,-100.81852201009497,-859.3704250625233
61,-98.95181152696026,-874.95087463659
62,-97.11008600556215,-890.6037057555877
63,-95.28951252122289,-906.274970475366
64,-93.47915698358204,-922.1801861358617
65,-91.6914953406839,-937.7570098630094
66,-89.92009240407361,-953.6366074720936
67,-88.1750499051212,-969.543968914666
68,-86.44313141978,-985.2997421120526
69,-84.73085249724846,-1001.3373870707219
70,-83.04366002962831,-1017.2948336551271
71,-81.37201144293627,-1033.2002512484542
72,-79.71693961086413,-1049.3902505162623
73,-78.07698263916086,-1065.4666736298605
74,-76.45676759755486,-1081.752154143047
75,-74.85183244684723,-1098.073577445226
76,-73.26423341239172,-1114.4641986477145
77,-71.69341326459448,-1130.9779093184843
78,-70.14177517255334,-1147.0294794527144
79,-68.60784481506681,-1163.366355696824
80,-67.09245596027645,-1179.8356217751934
81,-65.59065161678379,-1196.1732438464314
82,-64.10929276336879,-1212.9317543497382
83,-62.643890031146604,-1229.71217153436
84,-61.20332841512572,-1246.250707448955
85,-59.77783605070038,-1263.0827301535028
86,-58.36658320766394,-1279.738494196652
87,-56.97119648974648,-1296.6611504298126
88,-55.58948265741389,-1313.4745809464584
89,-54.229696564204055,-1330.1975806425035
90,-52.88328915204985,-1347.2708015580574
91,-51.55007436711957,-1364.601426059431
92,-50.23493223305672,-1381.7726634429418
93,-48.941266832894875,-1398.5858520564143
94,-47.6692771120588,-1415.7046574110063
95,-46.41225351745475,-1432.9005338447314
96,-45.16561665941756,-1450.4316902077044
97,-43.93637911551124,-1467.2460636920368
98,-42.7279587827698,-1484.3087099021213
99,-41.532962692453445,-1501.968190156549
100,-40.35478383644507,-1519.415510691404
101,-39.19632998964419,-1537.11378492754
102,-38.05101718581272,-1554.617122877382
103,-36.92527387828539,-1572.430256562875
104,-35.81387973998849,-1590.211941870759
105,-34.72038978949177,-1608.0264114088714
106,-33.64414282537839,-1625.7844179197346
107,-32.5879573019234,-1643.6742295735821
108,-31.545845972743077,-1661.5055286728748
109,-30.52319317497651,-1679.485503944241
110,-29.51519058968722,-1697.6124717883722
111,-28.523713596173874,-1715.9012587952166
112,-27.549801561720212,-1734.2057021089786
113,-26.59264480769411,-1752.4673088737327
114,-25.652512481252327,-1770.8941128923543
115,-24.730761549100432,-1789.256884297618
116,-23.82502316860612,-1807.827076272064
117,-22.936600924746582,-1826.5040813578598
118,-22.06481298297231,-1844.1941212369711
119,-21.21724440040205,-1861.9058435203187
120,-20.382603048448114,-1880.3423583197873
121,-19.569181927670737,-1899.0144565040173
122,-18.774876268553722,-1917.6999530268367
123,-17.997352648687805,-1936.4786400865778
124,-17.23910311671258,-1955.3817558796
125,-16.49771129150295,-1974.6526204377878
126,-15.766983878359008,-1994.0705879932357
127,-15.056678687378701,-2013.1012883039002
128,-14.367634417113914,-2032.335918964316
129,-13.69847777091095,-2051.437260038605
130,-13.048892920284027,-2070.6855281190656
131,-12.416787721005358,-2089.7343814529595
132,-11.80557381561058,-2108.7213402072593
133,-11.215108853643779,-2128.067287780643
134,-10.640479683201386,-2147.417851642538
135,-10.084571562218139,-2166.7841262441143
136,-9.549416541152334,-2186.198586524297
137,-9.033520280613994,-2205.9835003381304
138,-8.538541236221102,-2225.8154899702276
139,-8.060192830051529,-2245.786251060257
140,-7.602738047706589,-2265.633171197136
141,-7.1678821505104455,-2285.6361772811506
142,-6.751151234871395,-2305.725242804583
143,-6.35157458878839,-2325.560825034023
144,-5.972565600054304,-2345.389777573233
145,-5.616597538614849,-2365.530229113916
146,-5.278607412041163,-2385.712163577715
147,-4.964211618521427,-2406.018929971571
148,-4.665988131270661,-2426.2416850191657
149,-4.392867419129425,-2446.7165470336913
150,-4.137291137660009,-2467.4911569409524
151,-3.9068814185059417,-2487.948732208337
152,-3.698422910529042,-2508.610105831758
153,-3.5055122409769646,-2529.3666261709586
154,-3.3368142335754336,-2549.9801437486385
155,-3.1921737399629486,-2570.443517498461
156,-3.0755902255964664,-2591.2540585625684
157,-2.9723128392050406,-2612.048290318955
158,-2.8908144817961223,-2633.024638654366
159,-2.8332003363680323,-2653.821141035158
160,-2.8007409685712,-2675.153037163298
161,-2.790942143378994,-2696.0014273674897
162,-2.8061366984828404,-2716.788972157912
163,-2.849105384164171,-2738.1361032452405
164,-2.9126508483755864,-2759.8977454368214
165,-3.000331162412943,-2781.2171399171493
166,-3.1142079273254475,-2802.932839128065
167,-3.2534458958982335,-2825.0653878902667
168,-3.4142512254617494,-2846.4924015746947
169,-3.598407050313791,-2868.128295548544
170,-3.805540149985769,-2889.601920592315
171,-4.035889580297146,-2911.3024566974054
172,-4.2940274929233855,-2932.98280872366
173,-4.5689112355273895,-2954.6963024238867
174,-4.8780664978247845,-2976.7938331441037
175,-5.214086589029899,-2999.0009225172325
176,-5.570785904158777,-3021.139698013183
177,-5.954776782886279,-3043.3371350504895
178,-6.3677110160521355,-3065.943837083825
179,-6.805901944812172,-3087.8840065665354
180,-7.273405473215201,-3110.07164760826
181,-7.766479677543339,-3132.566260302199
182,-8.29234842332968,-3154.7235514620697
183,-8.85045378927108,-3176.422055918185
184,-9.437041060509353,-3198.5893312220214
185,-10.052076616776981,-3221.4108559745437
186,-10.688898318442535,-3244.39592506006
187,-11.361462321828606,-3266.790438393262
188,-12.062260454815169,-3289.467904604331
189,-12.787647702516745,-3312.376254369854
