N,lnPi(N),U(N)
0,0.0,0.0
1,-6.216678407071989,-0.09061106901809297
2,-11.589843220972071,-16.999609253127463
3,-15.21886692063332,-54.6236867595158
4,-16.93352692320872,-105.82292677416518
5,-19.933985841360567,-137.3734412066068
6,-23.152746050288034,-166.2932699644187
7,-26.11470492031927,-199.17436730591223
8,-28.830629885863505,-233.9227544460455
9,-31.39281451421647,-269.59910122566464
10,-33.80963494783118,-306.4510940185843
11,-36.21788581081282,-342.55293612087416
12,-38.53171681158647,-379.61833659725505
13,-40.73195900191012,-416.54645583713375
14,-42.86865590083802,-454.0063005130227
15,-44.95041446571355,-491.8577606309204
16,-46.999866523646645,-531.129025250663
17,-48.99964543848682,-568.4698022791314
18,-50.99004334114918,-606.2653282808711
19,-52.96102300537124,-644.8242236780484
20,-54.86461400720844,-682.9335627865242
21,-56.72469190075472,-721.7074814656872
22,-58.549085157564924,-759.8716070203071
23,-60.35126232558151,-799.3775313167977
24,-62.19371920427932,-838.1748396773777
25,-63.98253976463912,-876.6152657190888
26,-65.71395656843148,-916.428267748681
27,-67.43144461070797,-955.2651541527503
28,-69.12769103771004,-993.631721365025
29,-70.81627623646266,-1033.1884127950086
30,-72.4017640529543,-1073.8609007360774
31,-73.94671687747173,-1113.4870068431928
32,-75.44038795235848,-1154.1017078250043
33,-76.90186754758798,-1194.3716344385116
34,-78.31986321467879,-1234.8471818054836
35,-79.66539414350672,-1275.106134276432
36,-80.98041210072562,-1317.0062483549382
37,-82.29547368959267,-1359.4175477372123
38,-83.56435655391347,-1401.5069839376108
39,-84.80106152343558,-1442.8371939787605
40,-85.99605456893578,-1485.115806782095
41,-87.16801315069323,-1528.6016663757746
42,-88.39852653618426,-1570.9800290206283
43,-89.59946821310055,-1613.280139885379
44,-90.77735832214101,-1654.9703945600706
45,-91.93855631510132,-1698.6232783058235
46,-93.09953611187825,-1740.8533856901083
47,-94.22048383658696,-1782.8661030133653
48,-95.31275981609994,-1825.755938790165
49,-96.40589899808143,-1865.4773781546423
50,-97.44410045771946,-1907.2310267930802
51,-98.41763684881941,-1949.7646284683167
52,-99.45024594694283,-1993.2810089204163
53,-100.47423717059533,-2036.0896919175798
54,-101.46280505037937,-2078.0357549941486
55,-102.45763121101933,-2120.4283756282725
56,-103.44217892150438,-2162.795688752025
57,-104.4469165551879,-2204.240079463178
58,-105.45445297915366,-2245.4753718578495
