N,lnPi(N)
0,-1040.0306984374713
1,-1036.076779182433
2,-1032.8182997375684
3,-1029.97425134777
4,-1027.3836797510448
5,-1024.9645590274558
6,-1022.6322429746594
7,-1020.3577459738849
8,-1018.0936639254319
9,-1015.8244986085376
10,-1013.5363668781035
11,-1011.2206511691058
12,-1008.8763999569314
13,-1006.5066154935172
14,-1004.1181721051516
15,-1001.7109324534472
16,-999.2915122618889
17,-996.8606566705145
18,-994.4262569577656
19,-991.9739740249402
20,-989.5047371375866
21,-987.0050306391609
22,-984.4819061131122
23,-981.9412859215579
24,-979.3715426160704
25,-976.7740447399818
26,-974.1483424871802
27,-971.4776429435062
28,-968.7618931698257
29,-965.9987336271959
30,-963.1819000396686
31,-960.3034027179424
32,-957.3631099055842
33,-954.3695194533559
34,-951.3349236533443
35,-948.2689973087605
36,-945.1915278226411
37,-942.1268994659508
38,-939.080310160519
39,-936.0588675675831
40,-933.0878420807645
41,-930.1521792815605
42,-927.2460452359426
43,-924.3968248699479
44,-921.5919527422136
45,-918.8283571094746
46,-916.1088440853346
47,-913.4315367595259
48,-910.7850775406598
49,-908.192975139508
50,-905.6324104380492
51,-903.1163854348188
52,-900.6351100789122
53,-898.1828820489899
54,-895.7571336056141
55,-893.3562891763844
56,-890.983730439569
57,-888.6313480959534
58,-886.2919769831165
59,-883.9451045394009
60,-881.5942006784303
61,-879.2370746977599
62,-876.8661489391199
63,-874.4854612240139
64,-872.0314158806714
65,-869.5470543712939
66,-867.0255782221205
67,-864.4554216811406
68,-861.8322511759607
69,-859.1557769467204
70,-856.425072753088
71,-853.6321484737174
72,-850.7949697730523
73,-847.9154975838015
74,-845.0103015499037
75,-842.0826312015672
76,-839.1427996287385
77,-836.2101227265895
78,-833.2823621505336
79,-830.3667695348707
80,-827.4658307749216
81,-824.5732276287106
82,-821.6956671727783
83,-818.8600321373046
84,-816.0441160030966
85,-813.2464488706034
86,-810.4642259419231
87,-807.7001932388222
88,-804.9698353677448
89,-802.2626398078414
90,-799.5798875502012
91,-796.9113681875624
92,-794.2827242900867
93,-791.6793798186269
94,-789.1036637521493
95,-786.5340492869949
96,-783.9846903506773
97,-781.4548173784433
98,-778.9485664205979
99,-776.4602654795983
100,-773.9978924218758
101,-771.5381135490561
102,-769.1037148442693
103,-766.6730624160706
104,-764.2696522141862
105,-761.8596987653881
106,-759.4553835894783
107,-757.0448350926395
108,-754.6314040324637
109,-752.2022762599559
110,-749.7549614856812
111,-747.2545510438661
112,-744.6899930052905
113,-742.0653236949205
114,-739.3811256687834
115,-736.6505414404062
116,-733.8639098369792
117,-731.0522440516309
118,-728.1946170848075
119,-725.3361344494404
120,-722.4867238262682
121,-719.6414894613672
122,-716.799981641649
123,-713.9621258638348
124,-711.1266853555546
125,-708.303413461585
126,-705.5002396422207
127,-702.7181111998652
128,-699.9454802234679
129,-697.1805663798854
130,-694.4257633556588
131,-691.6830208159363
132,-688.9477764137705
133,-686.2257440946923
134,-683.5361920896612
135,-680.8530646554425
136,-678.1739800183038
137,-675.5189343329996
138,-672.869519872023
139,-670.2273331368101
140,-667.590277648185
141,-664.9475658896272
142,-662.0640942029365
143,-659.1494170993652
144,-656.1909827721686
145,-653.2092316423407
146,-650.2292602104158
147,-647.253049468197
148,-644.2679068450457
149,-641.2957543257254
150,-638.3356712862071
151,-635.3846507581675
152,-632.4606107664592
153,-629.5458045365297
154,-626.6412552293153
155,-623.7611793931585
156,-620.8882008885978
157,-618.0506209813561
158,-615.2210059196734
159,-612.4114126704541
160,-609.6093083663693
161,-606.836540639809
162,-604.0771231321617
163,-601.3417687837674
164,-598.6356585779041
165,-595.9126447035744
166,-593.1947469766276
167,-590.487261334668
168,-587.7953131394105
169,-585.1152867725557
170,-582.4503313244442
171,-579.7900025864021
172,-577.1408726584648
173,-574.5906828586436
174,-572.0482112609466
175,-569.5250952785308
176,-567.0234365199731
177,-564.5315986808262
178,-562.0504873337337
179,-559.5870959323656
180,-557.1271725807294
181,-554.6737886299045
182,-552.2142301491208
183,-549.7470679035628
184,-547.2590789343182
185,-544.7522926883862
186,-542.203726919891
187,-539.615717754918
188,-536.959836281349
189,-534.3127292590469
190,-531.597169147007
191,-528.8492425717284
192,-526.0721204117351
193,-523.2596055237013
194,-520.4207339719393
195,-517.5700966351333
196,-514.7063427838178
197,-511.85612729525803
198,-509.0149624859863
199,-506.1757841577124
200,-503.35722842263783
201,-500.55234638764307
202,-497.7534529841854
203,-494.9665548973387
204,-492.16689858368125
205,-489.3880460889118
206,-486.61432095709415
207,-483.8448848032923
208,-481.08856569608497
209,-478.3358651583752
210,-475.5984822575864
211,-472.8655786355954
212,-470.1025040286278
213,-467.3344836613621
214,-464.5474712069638
215,-461.7601116931751
216,-458.96016829180473
217,-456.1391369189895
218,-453.3053756795389
219,-450.45388850911536
220,-447.6031598696975
221,-444.73708169883514
222,-441.8486769007367
223,-438.94917395506013
224,-436.0497784331202
225,-433.15065180141175
226,-430.25709884697915
227,-427.37438357997644
228,-424.48997315785425
229,-421.6104525809242
230,-418.74491484878865
231,-415.88764244856395
232,-413.0426855645718
233,-410.20639596950116
234,-407.3932824468443
235,-404.5869896910225
236,-401.7944526001006
237,-399.0080614768425
238,-396.24056585261724
239,-393.4792287210514
240,-390.7261643712668
241,-387.9855433482096
242,-385.2424593692882
243,-382.5242716925934
244,-379.81815210510365
245,-377.10885332899704
246,-374.3990302396719
247,-371.69256280984075
248,-368.98934094606227
249,-366.28056865800295
250,-363.56208117205085
251,-360.75627787959945
252,-357.91924499752156
253,-355.0538657225287
254,-352.1584894979304
255,-349.2467921286716
256,-346.31886135885134
257,-343.3781668910914
258,-340.4376281085541
259,-337.520447034791
260,-334.60622287602143
261,-331.69637709145127
262,-328.79570428039574
263,-325.9086240857573
264,-323.04239511224034
265,-320.1819542101289
266,-317.344729570863
267,-314.5240390764635
268,-311.71874856081695
269,-308.9268415184413
270,-306.1560320891672
271,-303.3943128451282
272,-300.64797183574547
273,-297.9278625708421
274,-295.2147266687765
275,-292.5130819847941
276,-289.8195869519892
277,-287.14380460773816
278,-284.4686427542284
279,-281.8058401860725
280,-279.14902902941867
281,-276.4887709097279
282,-273.84011285385736
283,-271.1951636847101
284,-268.53139422093534
285,-265.8525561276638
286,-263.15765879621426
287,-260.42800807222386
288,-257.664687716965
289,-254.86940737126613
290,-251.9640645774298
291,-249.04402035391368
292,-246.1237173851563
293,-243.21043503448746
294,-240.31410819339717
295,-237.43389339724573
296,-234.56024204976123
297,-231.70023670212996
298,-228.84564062053406
299,-225.9949266905475
300,-223.16086951364528
301,-220.3593576212701
302,-217.58161127043823
303,-214.82238464151547
304,-212.08224120321975
305,-209.35791251173126
306,-206.64611521722568
307,-203.94700276034624
308,-201.26929644588589
309,-198.6140788811555
310,-195.97934078661845
311,-193.36213184695558
312,-190.750450130941
313,-188.16480776963638
314,-185.57343208840192
315,-182.994440748397
316,-180.43705658498962
317,-177.90517333355334
318,-175.3899281317829
319,-172.88396224645945
320,-170.38141825466747
321,-167.88505173498064
322,-165.39679777086943
323,-162.93298106506316
324,-160.48097184403642
325,-158.02477959257797
326,-155.58100972746072
327,-153.15580614936428
328,-150.748810530057
329,-148.3478432170895
330,-145.93727941440935
331,-143.5330474873064
332,-141.14199229009458
