N,lnPi(N)
0,-0.0515452114148985
1,-3.0696214972355036
2,-6.0226930020400165
3,-7.961846020541505
4,-7.739254192865143
5,-8.448964658928114
6,-9.747673315721634
7,-10.768271493622356
8,-11.588621712413216
9,-12.294966464511178
10,-12.856696530262765
11,-13.244631360988334
12,-13.52891747099938
13,-13.6951168678603
14,-13.77994623434443
15,-13.798094457974278
16,-13.722252321344774
17,-13.582954076603306
18,-13.375487488385922
19,-13.122364156482211
20,-12.81589026619821
21,-12.45561418554524
22,-12.056531653922141
23,-11.665203764914688
24,-11.271818543884718
25,-10.883824033260398
26,-10.55883953968634
27,-10.306370563880314
28,-10.16398533350632
29,-10.113051958527246
30,-10.242340247473173
31,-10.578243556729426
32,-11.256901224955923
33,-12.267470168195326
34,-13.606711814645433
35,-15.245949919192034
36,-16.942682061703714
37,-18.34392404476164
38,-19.373184493029704
39,-20.201603712622493
40,-20.86840900566247
41,-21.30113121527002
42,-21.529680948934523
43,-21.6109507753164
44,-21.573459772847688
45,-21.458234257889
46,-21.282609978033754
47,-21.06959639319701
48,-20.817076201415226
49,-20.554335619891685
50,-20.266523029481174
51,-19.98806364202961
52,-19.717454892808735
53,-19.47689898191109
54,-19.270187765023575
55,-19.116083916390647
56,-18.991271265158012
57,-18.929476629966658
58,-18.941764624253587
59,-19.019210030085773
60,-19.20146608151705
61,-19.507887941967738
62,-19.923247236023215
63,-20.443902557011075
64,-21.12844801403738
65,-21.971476093677783
66,-22.971518774563222
67,-24.11794595575287
68,-25.386237844313538
69,-26.71822257623267
70,-27.946153034703368
71,-28.869618387926263
72,-29.329050129891073
73,-29.4492079722266
74,-29.38869285925665
75,-29.2537773308558
76,-29.068170151190202
77,-28.87748315901139
78,-28.670606775407887
79,-28.462350978339323
80,-28.245286239067354
81,-28.077772097776332
82,-27.920557505509475
83,-27.769827827024557
84,-27.666802133288808
85,-27.600593913409057
86,-27.582060658742282
87,-27.578033523303557
88,-27.635006562899527
89,-27.741471185428427
90,-27.921528712135725
91,-28.163626233459432
92,-28.46933849989172
93,-28.85544452656251
94,-29.302418299500175
95,-29.862198659095316
96,-30.521265029435895
97,-31.231053624951986
98,-32.06529089144513
99,-32.98501657757125
100,-34.0201214079821
101,-35.09575555344825
102,-36.1597407171678
103,-36.93698349339288
104,-37.3065162424246
105,-37.3530994961778
106,-37.23457805176828
107,-37.08291325630006
108,-36.92862948845264
109,-36.76118764168136
110,-36.59961966494389
111,-36.50747179198886
112,-36.436261740434695
113,-36.388921439132595
114,-36.36904727975529
115,-36.37207941748183
116,-36.41818766246072
117,-36.48517289508994
118,-36.56489379688013
119,-36.68640060022045
120,-36.861689421229386
121,-37.07842625161798
122,-37.364736584892576
123,-37.69914953510015
124,-38.07508980966092
125,-38.5167336192421
126,-39.02315063405442
127,-39.54901451952445
128,-40.13915835765306
129,-40.80533140535229
130,-41.55952174621851
131,-42.38614976283748
132,-43.248013718294956
133,-44.18793106243527
134,-45.200331472058764
135,-45.74715171379397
136,-46.00938164929203
137,-46.04983834770023
138,-45.96451241310517
139,-45.82947243370454
140,-45.695647988977235
141,-45.574918529876875
142,-45.478470128334635
143,-45.41684714558013
144,-45.38469228207724
145,-45.37931373891845
146,-45.38706887024889
147,-45.41533004623985
148,-45.47804668333108
149,-45.58179213399351
150,-45.70658658926256
151,-45.84761473270347
152,-46.02538275902132
153,-46.221373952346774
154,-46.47114625016402
155,-46.73331595393966
156,-47.03675694383036
157,-47.41401645352315
158,-47.820380906814584
159,-48.264420978301395
160,-48.767286185522124
161,-49.305660554926526
162,-49.90380331234911
163,-50.544390763533876
164,-51.23134292789662
165,-51.95149108523063
166,-52.3878341999691
167,-52.710889573384705
168,-52.888594663131215
169,-52.94829802166743
170,-52.91744395197179
171,-52.82954066929771
172,-52.755777709330054
173,-52.67286617906584
174,-52.626688756632376
175,-52.58369477766257
176,-52.581152921490855
177,-52.59346870933741
178,-52.63787936189775
179,-52.69922250836918
180,-52.79633645880337
181,-52.914948407730456
182,-53.03329167637642
183,-53.16552246876745
184,-53.33902996719856
185,-53.54448332641527
186,-53.78588316013834
187,-54.05455233462612
188,-54.37702664935719
189,-54.73072296478756
190,-55.0982933245943
191,-55.491124867082874
192,-55.93882925212805
193,-56.42110707192288
194,-56.90694122900422
195,-57.45212020429567
196,-58.01621477051026
197,-58.64470014207569
198,-58.98370515325135
199,-59.24036926431229
200,-59.415958703229116
201,-59.48571760723627
202,-59.50451030121884
203,-59.48918303993499
204,-59.44145988634048
205,-59.37450674232734
206,-59.37330203802611
207,-59.376333923865616
208,-59.38593536450463
209,-59.424264649969395
210,-59.47693263616959
211,-59.55612770537647
212,-59.65608132011855
213,-59.779377038268194
214,-59.91258866023636
215,-60.04277806348504
216,-60.2076256107209
217,-60.392936606916734
218,-60.60500616753749
219,-60.85321142636625
220,-61.10605348146437
221,-61.39341752192175
222,-61.704525949143154
223,-62.06397658217109
224,-62.447438071149435
225,-62.85282140859489
226,-63.29510185242244
227,-63.73472533763411
228,-64.22672648294493
229,-64.44180301042461
230,-64.61767926367149
231,-64.7394796643798
232,-64.7969210558873
233,-64.82346982439455
234,-64.79220221767171
235,-64.76052340531045
236,-64.72747260097792
237,-64.69869609412616
238,-64.67032924299441
239,-64.6704405881759
240,-64.68551231033672
241,-64.70588216499446
242,-64.74730980261481
243,-64.79124466851475
244,-64.85037821173981
245,-64.96136684190289
246,-65.08018900121522
