   T*            lnz         +/-        psat          +/-       rho_v       +/-        rho_l        +/-          u_v         +/-          u_l         +/- 
7.000E-01  -6.252205E+00  5.02E-03  1.369302E-03  2.50E-07  1.995599E-03  3.55E-07  8.434086E-01  3.68E-05  -2.501444E-02  5.98E-06  -6.100203E+00  2.55E-04 
7.010E-01  -6.239748E+00  5.02E-03  1.388725E-03  2.54E-07  2.021445E-03  3.59E-07  8.429861E-01  3.38E-05  -2.529943E-02  5.94E-06  -6.096395E+00  2.36E-04 
7.020E-01  -6.227334E+00  5.02E-03  1.408362E-03  2.57E-07  2.047543E-03  3.63E-07  8.425635E-01  3.09E-05  -2.558685E-02  5.90E-06  -6.092586E+00  2.18E-04 
7.030E-01  -6.214962E+00  5.02E-03  1.428216E-03  2.61E-07  2.073895E-03  3.68E-07  8.421407E-01  2.81E-05  -2.587671E-02  5.87E-06  -6.088778E+00  2.00E-04 
7.040E-01  -6.202634E+00  5.02E-03  1.448286E-03  2.64E-07  2.100503E-03  3.72E-07  8.417178E-01  2.55E-05  -2.616903E-02  5.83E-06  -6.084969E+00  1.84E-04 
7.050E-01  -6.190348E+00  5.02E-03  1.468576E-03  2.67E-07  2.127369E-03  3.76E-07  8.412946E-01  2.31E-05  -2.646382E-02  5.80E-06  -6.081160E+00  1.69E-04 
7.060E-01  -6.178106E+00  5.02E-03  1.489086E-03  2.71E-07  2.154494E-03  3.81E-07  8.408713E-01  2.10E-05  -2.676110E-02  5.77E-06  -6.077350E+00  1.56E-04 
7.070E-01  -6.165905E+00  5.01E-03  1.509819E-03  2.74E-07  2.181880E-03  3.85E-07  8.404478E-01  1.93E-05  -2.706086E-02  5.74E-06  -6.073541E+00  1.45E-04 
7.080E-01  -6.153748E+00  5.01E-03  1.530775E-03  2.77E-07  2.209528E-03  3.88E-07  8.400241E-01  1.81E-05  -2.736313E-02  5.71E-06  -6.069731E+00  1.37E-04 
7.090E-01  -6.141633E+00  5.01E-03  1.551957E-03  2.80E-07  2.237440E-03  3.92E-07  8.396003E-01  1.75E-05  -2.766792E-02  5.69E-06  -6.065920E+00  1.33E-04 
7.100E-01  -6.129560E+00  5.00E-03  1.573366E-03  2.83E-07  2.265618E-03  3.96E-07  8.391762E-01  1.75E-05  -2.797524E-02  5.67E-06  -6.062110E+00  1.32E-04 
7.110E-01  -6.117530E+00  4.99E-03  1.595003E-03  2.86E-07  2.294063E-03  3.99E-07  8.387519E-01  1.82E-05  -2.828510E-02  5.64E-06  -6.058299E+00  1.34E-04 
7.120E-01  -6.105541E+00  4.98E-03  1.616871E-03  2.88E-07  2.322776E-03  4.02E-07  8.383275E-01  1.95E-05  -2.859751E-02  5.63E-06  -6.054488E+00  1.39E-04 
7.130E-01  -6.093595E+00  4.97E-03  1.638971E-03  2.91E-07  2.351760E-03  4.05E-07  8.379028E-01  2.11E-05  -2.891249E-02  5.61E-06  -6.050677E+00  1.47E-04 
7.140E-01  -6.081691E+00  4.96E-03  1.661305E-03  2.93E-07  2.381016E-03  4.07E-07  8.374780E-01  2.31E-05  -2.923005E-02  5.60E-06  -6.046865E+00  1.58E-04 
7.150E-01  -6.069828E+00  4.95E-03  1.683874E-03  2.95E-07  2.410545E-03  4.10E-07  8.370529E-01  2.54E-05  -2.955021E-02  5.59E-06  -6.043053E+00  1.70E-04 
7.160E-01  -6.058007E+00  4.94E-03  1.706680E-03  2.97E-07  2.440350E-03  4.12E-07  8.366277E-01  2.77E-05  -2.987297E-02  5.59E-06  -6.039240E+00  1.83E-04 
7.170E-01  -6.046228E+00  4.92E-03  1.729724E-03  2.99E-07  2.470432E-03  4.13E-07  8.362022E-01  3.02E-05  -3.019834E-02  5.58E-06  -6.035427E+00  1.97E-04 
