N,lnPi(N),U(N)
0,-453.42248681102154,0.0
1,-446.71884168418626,-6.507344281319294e-05
2,-440.7095690795607,-0.014693285159372904
3,-435.1075063625648,-0.044013739845090605
4,-429.79457572139535,-0.08787899599818472
5,-424.7061454972792,-0.1464870648322037
6,-419.801209337632,-0.2192728565063416
7,-415.05165927837646,-0.3068271023825444
8,-410.4372439237479,-0.40905839069301203
9,-405.94117996636277,-0.5256017781363036
10,-401.5527874983592,-0.6565726750622303
11,-397.26101297249306,-0.8026192644196943
12,-393.05742581951597,-0.9632339354352816
13,-388.9344327259077,-1.137349085975054
14,-384.8871501183363,-1.325724336759365
15,-380.91144355193376,-1.5291244898942207
16,-377.00105364315806,-1.7484951419282302
17,-373.15179729429974,-1.9819263378630443
18,-369.36248817670656,-2.2286708089567107
19,-365.62806680762816,-2.4907243898753877
20,-361.9466340471638,-2.767428251358998
21,-358.31589536196526,-3.058939878738198
22,-354.732304040444,-3.3644823383199443
23,-351.1954435563753,-3.6854817553518884
24,-347.70295345929026,-4.021551894351096
25,-344.2522405353343,-4.3698897295002155
26,-340.8433530843523,-4.732540084460679
27,-337.473731101942,-5.109017898612126
28,-334.142169814562,-5.50044390429086
29,-330.84800394852687,-5.907346832954177
30,-327.5884643216917,-6.328756582506854
31,-324.3639734178632,-6.764802232397332
32,-321.17248759079627,-7.214101860858057
33,-318.0131791476494,-7.676320216975224
34,-314.8848715458687,-8.154812006083082
35,-311.78768254016416,-8.648675903745909
36,-308.7197573293526,-9.155048259738795
37,-305.6822498742633,-9.673998756500742
38,-302.673283893199,-10.210858452438895
39,-299.6920386006667,-10.763290046322284
40,-296.738135118058,-11.33031006919486
41,-293.8112328414848,-11.913427340588452
42,-290.9104065153275,-12.511719168154354
43,-288.0346343424308,-13.119997817953124
44,-285.1829865564929,-13.740157608918105
45,-282.35558943619657,-14.37754937383755
46,-279.5532452901836,-15.02765817293874
47,-276.7741339615064,-15.690953642624192
48,-274.01765940212965,-16.37226737770786
49,-271.2848739681224,-17.068158728956416
50,-268.57386301195424,-17.777999064799033
51,-265.8835163432449,-18.505293463661555
52,-263.21442407733565,-19.246331299958328
53,-260.5670754405072,-19.995035008688287
54,-257.94082291800373,-20.7579697376813
55,-255.33560808959257,-21.542589569860688
56,-252.74964687017393,-22.34024376450031
57,-250.18268942415023,-23.153319352737896
58,-247.6362031988169,-23.972438332153718
59,-245.10891300752724,-24.812075217427967
60,-242.60035694804145,-25.661623782794713
61,-240.11102321860358,-26.524074381391326
62,-237.639929290973,-27.402902531089023
63,-235.18705918872442,-28.30191962457141
64,-232.75293680028085,-29.210992926067856
65,-230.33552278797558,-30.13500621762579
66,-227.934836090556,-31.075933569110507
67,-225.55318766236164,-32.02882894664967
68,-223.18828136063092,-32.99503077575348
69,-220.8403137207576,-33.97096214467568
70,-218.50916182956718,-34.970122919884055
71,-216.19424862232526,-35.982432325021776
72,-213.8968789367639,-37.01730203861013
73,-211.61495199829923,-38.054378116061116
74,-209.34955328812433,-39.11048393261757
75,-207.09905447372927,-40.17431003463425
76,-204.86581290505123,-41.25612160150601
77,-202.64766205888674,-42.35455678320086
78,-200.4427935093313,-43.47220734647871
79,-198.25425269218462,-44.60166181049368
80,-196.0808782115386,-45.74155404004571
81,-193.92257933016606,-46.89458674633857
82,-191.779021217165,-48.067162459611986
83,-189.64982548192611,-49.24716547265247
84,-187.53495228381007,-50.43639001693858
85,-185.43597052053047,-51.65240520936496
86,-183.3511292844353,-52.87289578372337
87,-181.28185767690047,-54.11148587519798
88,-179.22500556568613,-55.36994116556145
89,-177.18337142998155,-56.644321559633546
90,-175.15490692129237,-57.91928709848893
91,-173.1417012848401,-59.208439931676246
92,-171.14272242063578,-60.52257683477826
93,-169.1554831841043,-61.84840356718023
94,-167.1822383487048,-63.18644284020489
