N,lnPi(N),U(N)
0,-409.1002990354996,0.0
1,-401.11303496287934,-10.348926228412893
2,-393.8241169964429,-20.51431064162898
3,-386.97532750627363,-30.502868427902285
4,-380.4190351683039,-40.37018120096036
5,-374.1125527181903,-50.02055832545739
6,-368.00003052954713,-59.55203074300516
7,-362.0707733805093,-68.947202723386
8,-356.2990875610126,-78.23197164236626
9,-350.6591772407052,-87.35503962007351
10,-345.1455108065486,-96.33754361391038
11,-339.7402047024507,-105.16170186310774
12,-334.44727238525746,-113.96162775014818
13,-329.2578802321749,-122.69949691392685
14,-324.15928362145314,-131.39199228785583
15,-319.14635725919766,-140.01591995417402
16,-314.2153659314847,-148.4909505345713
17,-309.35642605235887,-156.84304557798896
18,-304.56795810375803,-165.23417644461006
19,-299.84931889943624,-173.61999680902227
20,-295.19979930266726,-182.07254690650007
21,-290.61770516317097,-190.45019731664797
22,-286.09526264670393,-198.72101399128587
23,-281.6274071440653,-207.02774011655129
24,-277.2213881261134,-215.3056127699092
25,-272.86934379787016,-223.46060727553413
26,-268.567381994447,-231.67375877583981
27,-264.3182599427199,-239.89182386336324
28,-260.1193179676536,-248.0624435431455
29,-255.96874606557137,-256.15794017317967
30,-251.86280559662495,-264.22084597744833
31,-247.8074328375095,-272.32464875980077
32,-243.7964589180347,-280.5607059196627
33,-239.82431174179914,-288.7927609849139
34,-235.88997887176768,-296.90480578745337
35,-232.01035865753678,-305.09290523655363
36,-228.1652171815139,-313.1962538848311
37,-224.35963210315995,-321.3650199317781
38,-220.58180567168995,-329.48060353038454
39,-216.85224690177034,-337.6505565715779
40,-213.16637608172292,-345.73831007877743
41,-209.5163118485694,-353.9027258036949
42,-205.89743074085536,-362.0698380560716
43,-202.3146026928991,-370.3438024314746
44,-198.7699501608468,-378.50127651742514
45,-195.2666674224564,-386.762145837929
46,-191.79585352949024,-394.89570512631326
47,-188.35571437750767,-403.1358330947187
48,-184.95237949904416,-411.38900599810586
49,-181.58144639038906,-419.65159814931394
50,-178.24430693302435,-428.0022145654293
51,-174.94165677823244,-436.29265725186997
52,-171.6643554958192,-444.93517629738926
53,-168.4232541087802,-453.46621927971137
54,-165.21253396686126,-461.7499999328502
55,-162.03224978413093,-470.05402054917795
56,-158.88330312536687,-478.40203791789827
57,-155.7700321112832,-486.76923439047096
58,-152.68453606027913,-495.24838696918596
59,-149.62765272677558,-503.6919318457294
60,-146.6085881852452,-511.9643800207923
61,-143.62104184283936,-520.2124894251829
62,-140.66331852569118,-528.6862546375269
63,-137.73159514428778,-537.2287318815361
64,-134.84112411044902,-545.740488691692
65,-131.96781711654938,-554.3032583129461
66,-129.12647490502792,-562.8861257218377
67,-126.3162401279671,-571.4613646694634
68,-123.53754546493487,-580.043500795844
69,-120.79019704101985,-588.6674349219684
70,-118.07066030131286,-597.325893431509
71,-115.38424936135642,-606.0827081572643
72,-112.71882217002617,-614.6903172796156
73,-110.08320461619134,-623.3647259624049
74,-107.47784044281231,-632.1384697873873
75,-104.90191828442177,-640.9275237400943
76,-102.35886123742212,-649.6151065850936
