N,lnPi(N),U(N)
0,-346.72670726927134,0.0
1,-339.5561643906266,-5.28275668040078
2,-333.0917171779656,-10.575877590687014
3,-327.04280461537104,-15.874322677886084
4,-321.2895731694105,-21.199691425597848
5,-315.76547601184683,-26.537104994535184
6,-310.42527288619317,-31.890048289740662
7,-305.2505751421671,-37.22606233519764
8,-300.2112654431744,-42.60570961144185
9,-295.298621773871,-47.98310454834427
10,-290.49668031275723,-53.38547323545936
11,-285.8033731275502,-58.815725800654036
12,-281.1967439541064,-64.26967811324721
13,-276.67924645277304,-69.69542841010843
14,-272.24151410827966,-75.14546006963064
15,-267.8830140698099,-80.57314058726843
16,-263.5912841681439,-86.04558519523925
17,-259.3660471472831,-91.56962361853584
18,-255.20068315925715,-97.04908697784413
19,-251.09840626300902,-102.5513771950391
20,-247.0648811144269,-108.0684001296031
21,-243.08047317965014,-113.59223927154017
22,-239.1503490449273,-119.17920174002575
23,-235.27225343957716,-124.74356903119042
24,-231.44097237220902,-130.32123825240342
25,-227.66046976160052,-135.91429526602224
26,-223.93065995488539,-141.55247051097467
27,-220.24307807193,-147.15956307803572
28,-216.59902620297942,-152.79500118864235
29,-212.9977322359245,-158.50646434099326
30,-209.4397328996621,-164.15956074584028
31,-205.92324756082698,-169.81012803648628
32,-202.45012689690415,-175.53275504357953
33,-199.0116245474347,-181.2772772560893
34,-195.6126386224665,-187.0144860655746
35,-192.25003052710858,-192.74382523576423
36,-188.924023124033,-198.55083419048242
37,-185.63663056420214,-204.39624781252496
38,-182.38301761475134,-210.23061666819922
39,-179.15873118666832,-216.06323289806824
40,-175.97502561118316,-221.8773381565734
41,-172.81814112488584,-227.72461940502035
42,-169.70024358489124,-233.58346988440098
43,-166.61712167622133,-239.41568712817752
44,-163.5653105983123,-245.2852603335341
45,-160.54115036521162,-251.16862244178992
46,-157.55557451626296,-257.1010173713257
47,-154.59425739206782,-263.03346776267426
48,-151.66615477962156,-269.1002350999406
49,-148.7693637066023,-275.1283720293868
50,-145.8992867567809,-281.09011278801336
51,-143.0613083277936,-287.11412535416093
52,-140.24929509176744,-293.18710327858935
53,-137.4674205752484,-299.2533765245098
54,-134.71923394530842,-305.32718430327077
55,-132.00081745458462,-311.33678162468277
56,-129.30561527329021,-317.45075804233784
57,-126.63913021706972,-323.56976207660773
58,-124.00415676983638,-329.86567239846045
59,-121.39755827888217,-336.11725811057113
60,-118.81814034332785,-342.3106933451709
61,-116.26428677866159,-348.52089095726114
62,-113.73409064746838,-354.784641048489
63,-111.23860108017811,-361.0652296459266
64,-108.76843459469231,-367.3591874077647
65,-106.32569262808786,-373.66732195780423
66,-103.90779604431779,-379.95273718744284
67,-101.51780442892496,-386.3145835313335
68,-99.15342150461089,-392.69577575929725
69,-96.81637678152495,-399.1386194269289
70,-94.50546588504719,-405.5717984112707
71,-92.2172438187547,-412.02043471565776
72,-89.95979805197575,-418.45487278625296
73,-87.73303558915259,-424.86478297712165
74,-85.53256517888471,-431.3758620795488
75,-83.3580381098881,-437.83633648635805
76,-81.20644544752949,-444.3800422258464
77,-79.08263495516181,-450.92260668684685
78,-76.98537628204755,-457.4009687680773
79,-74.91777757015032,-463.9767082953622
80,-72.87765702863302,-470.5413909976269
81,-70.86540136095945,-477.2225015554577
82,-68.87930561768471,-483.8694360416266
83,-66.9162075537146,-490.60009186442767
84,-64.98383278906667,-497.36917586852724
85,-63.07650396140273,-504.09824771947024
86,-61.200246931370295,-510.86802940160123
87,-59.34429899888702,-517.6665544192037
88,-57.51575093294904,-524.4787376082495
89,-55.71409749129848,-531.3096754732906
90,-53.93494848832055,-538.1914645783982
91,-52.18797711491707,-545.0416694311025
92,-50.47017806291095,-551.9517170978979
93,-48.771552924628544,-558.7152840550661
94,-47.105118150286025,-565.4785799766614
95,-45.46622588281267,-572.2664696654683
96,-43.85643790281015,-579.3190935943676
97,-42.27510723962693,-586.2615710170139
98,-40.72215430847459,-593.3422658999189
99,-39.204342017644,-600.4101355732782
100,-37.70226374019999,-607.5257379503237
101,-36.23254772625288,-614.6578156767391
102,-34.79000456183699,-621.8709494776958
103,-33.375659930886435,-628.9827761781708
104,-31.98589952827465,-636.1470620225737
105,-30.632434816027946,-643.2734915707151
106,-29.307537510856925,-650.4427610818711
107,-28.013869701930084,-657.7874791223803
108,-26.748111607100988,-665.0522814997967
109,-25.515422515897207,-672.2761928011387
110,-24.301990495110182,-679.7246443743024
111,-23.12765780439046,-686.8712787351324
112,-21.979174120540314,-694.1354404755148
113,-20.85819981862418,-701.5087568632407
114,-19.773258717224543,-708.8295888677385
115,-18.71543384433742,-716.2295516703234
116,-17.680607515116527,-723.6707023363379
117,-16.68882974516979,-731.0600922899575
118,-15.727461486342042,-738.5181535980628
119,-14.79749371626085,-745.8822080239188
120,-13.897128621180206,-753.2138375340255
121,-13.021867289681415,-760.7650225741672
122,-12.193757398739853,-768.6877644436609
123,-11.390420121860847,-776.4954461037596
124,-10.612742969154601,-784.3099403866472
125,-9.869139556653215,-791.529004080825
126,-9.158451152363375,-799.0922610073067
127,-8.496494622817556,-806.762942689038
128,-7.855086199746642,-814.4562165327588
129,-7.256689797214653,-822.1893230436544
130,-6.6867617868804015,-829.8722362411027
131,-6.149316866517358,-837.2492923836544
132,-5.650332686690978,-845.0349679546816
133,-5.179054923750163,-852.8623804497984
134,-4.75052918498543,-860.6019376267868
135,-4.3555137783762685,-868.3845848413002
136,-4.007662744863955,-876.2704816241676
137,-3.6979079690426375,-884.4088394304563
138,-3.4171319748961424,-892.1793127865967
139,-3.1645234786403535,-899.9903077046183
140,-2.962219970773026,-907.7839038107631
141,-2.7902769382202792,-915.7957221539255
142,-2.6701291292037923,-923.5911579329768
143,-2.583070422873027,-931.6503912256339
144,-2.530639875108682,-939.5044017795226
145,-2.5154681616226413,-947.3616359304069
146,-2.549372722923954,-954.9100429336286
147,-2.6307004201437736,-962.5096498404746
148,-2.7418353846782453,-970.6229645899439
149,-2.914109997939113,-978.5637849897648
150,-3.110482922028757,-986.726462957784
151,-3.353383434175987,-994.5042764111931
152,-3.6378648182041844,-1002.6412233040137
153,-3.9648445103931977,-1010.082072846526
154,-4.337681371761766,-1018.3857660610229
155,-4.749772055189316,-1026.735602842531
156,-5.207883498417038,-1034.802286521368
157,-5.713634183567455,-1042.948077427507
158,-6.268919371238814,-1050.9086427246984
159,-6.8685916059650705,-1059.0466056072655
160,-7.514732497578825,-1067.0402712393152
161,-8.204814326204461,-1075.0986217126301
162,-8.938156366597047,-1083.021273159844
163,-9.735156241777906,-1091.0471344145626
164,-10.576571615018315,-1098.902920270477
165,-11.447528706159892,-1107.2195786455923
166,-12.36782267672985,-1114.7057366609915
167,-13.357977626452543,-1122.3882535586126
168,-14.389827544049046,-1129.9300750029179
169,-15.476264119978373,-1138.0037870946835
170,-16.60816315354331,-1146.2673133435928
171,-17.797727578958735,-1153.9353548164072
172,-19.051618120447507,-1161.9153111092055
173,-20.35487113246112,-1169.937176483414
174,-21.714740835554245,-1178.0885059923821
175,-23.10957778174194,-1185.9007780734028
176,-24.59072280620328,-1193.58171161473
177,-26.123310582729893,-1201.2254802763746
178,-27.694264886558166,-1209.037809484067
179,-29.32547582181369,-1217.3532185803597
180,-31.0172211978198,-1225.0790460481148
181,-32.77830454383699,-1232.3397352468164
182,-34.58435817243569,-1239.5669478674245
183,-36.46992015709268,-1247.2619615488402
184,-38.39617360186438,-1254.8249294118905
185,-40.39164561748155,-1261.9786465100442
186,-42.43937977559964,-1270.0367454314292
187,-44.57166895592011,-1277.877057965572
188,-46.75605246467641,-1285.8737752742272
189,-48.98341550247674,-1293.7102324921252
190,-51.27733567174554,-1301.5783230232591
191,-53.65923739660341,-1308.2499751652285
192,-56.058897237540045,-1315.8273316559353
193,-58.562003384844196,-1323.5443356451797
194,-61.14014583534195,-1330.0931535530835
195,-63.77327082172676,-1337.2768574294896
196,-66.47357286501048,-1345.0026994896107
197,-69.23614351208337,-1351.7905486711206
198,-72.03440553857732,-1360.1466266373136
199,-74.93487294758378,-1366.1521157644565
200,-77.88997169101302,-1373.030185821939
201,-80.96968634869071,-1380.4259227603652
202,-84.08773327814842,-1387.468873343627
203,-87.31707904113361,-1394.6433998088796
204,-90.60535723571579,-1402.0118822276418
205,-93.92014294649405,-1409.3215442938053
206,-97.35208636139433,-1416.5312766437382
207,-100.88034718703105,-1423.9716725467915
208,-104.47269843409819,-1431.936575071777
209,-108.08618591980525,-1439.2474979257968
210,-111.80595739791505,-1445.4000132185065
211,-115.61973723655953,-1451.4145464217945
212,-119.48473396831213,-1458.1066404301564
213,-123.43758253206951,-1464.4390994310234
214,-127.48996574954529,-1469.965204503358
215,-131.635287551735,-1477.0514077771586
216,-135.87182713454536,-1482.464303954268
217,-140.17096790893194,-1489.8376037451562
218,-144.53195953795043,-1496.803880927877
219,-149.00667175229407,-1502.4073390757294
220,-153.61820166662352,-1509.146891801567
221,-158.2845872255913,-1515.0553912543874
222,-163.03804432535097,-1522.2823244400097
223,-167.7642225194674,-1529.048606278935
224,-172.66939392623232,-1533.798090051605
225,-177.64865198721267,-1539.164490834948
226,-182.76063659919507,-1542.7670258922371
227,-187.95098142657272,-1548.0150023631359
228,-193.22083036492614,-1554.4283661129484
229,-198.60330999344797,-1560.091614973655
230,-204.1021694266984,-1566.1039867320578
231,-209.70580281121028,-1572.7324585518654
232,-215.41844182281415,-1576.378108225519
233,-221.24559346526482,-1580.9686306497497
234,-227.12022604809536,-1586.0814584469554
235,-233.13712484282323,-1588.575599982345
236,-239.1991105721868,-1595.5328452247668
237,-245.3630972038834,-1601.129202776021
238,-251.6633251957533,-1606.2446940184636
239,-257.99025748761574,-1608.4826977002085
240,-264.6457216368255,-1609.8128335443253
241,-271.2628404233198,-1616.8922521897293
242,-278.10626947512543,-1623.8429052256251
243,-285.2025662195572,-1627.305991484718
244,-292.22033364088537,-1630.1866943201094
245,-299.5034608988229,-1631.8227816678009
246,-306.70361980604247,-1632.923305109136
247,-314.2285283622696,-1639.5581704801516
248,-321.9455108123276,-1637.1691841237698
249,-329.5585062348052,-1637.7316025297878
250,-337.46580398154333,-1645.3870208876215
251,-345.2868193502507,-1645.8886044407845
252,-353.32900165556686,-1651.61642054611
253,-361.6250505436902,-1649.4176899755585
254,-369.635867151289,-1650.133611795558
255,-377.87760079269344,-1654.8987867905598
256,-386.22289148845147,-1659.2311141540813
257,-394.89247303001986,-1658.1439338520431
258,-403.48896408573177,-1660.0145786213288
259,-412.0754789464949,-1662.4557958456899
260,-421.23581753531505,-1655.5558135286483
261,-430.33946722807923,-1652.5832121153471
262,-439.4214886954111,-1658.8771687583758
263,-448.9295399758934,-1659.6111062167001
264,-457.8403306841028,-1664.8565561473988
265,-467.2982905158274,-1668.348148637302
266,-476.57703928195116,-1670.7345540658462
267,-485.94544290491365,-1676.5440149583956
268,-495.9687921548932,-1674.528782381727
269,-505.7308439786005,-1667.8977049174573
270,-515.9119623484877,-1664.201639854171
271,-526.6546094822331,-1670.2281245165796
272,-536.5649046035173,-1672.3295996774505
273,-546.5193733959524,-1671.742856647892
274,-556.6390186473631,-1673.8292746388797
