N,lnPi(N),U(N)
0,-587.2635037327552,0.0
1,-579.1003954916753,-7.688627412819187
2,-571.5994811087027,-15.387266796838958
3,-564.5165876169184,-23.103031914753956
4,-557.7443158027828,-30.82661956469383
5,-551.2085725037691,-38.572883401640865
6,-544.8484250683625,-46.34335697435017
7,-538.6629029061446,-54.13391027765465
8,-532.6093009075284,-61.92063679590501
9,-526.6792529700766,-69.7137388238989
10,-520.8644480933162,-77.5284984036116
11,-515.150386686824,-85.32806740896922
12,-509.51834095487015,-93.15314213428792
13,-503.9846386669905,-101.01869557866303
14,-498.51888650408205,-108.84406228816079
15,-493.1381419243631,-116.7955435488766
16,-487.826955524085,-124.65883269309415
17,-482.58534170201267,-132.5821281025128
18,-477.41140797965124,-140.51212204528565
19,-472.2922285809043,-148.45377780466515
20,-467.2313181527027,-156.3951422659302
21,-462.2146265173777,-164.3632659125724
22,-457.2513502254181,-172.40137555209367
23,-452.34089176089986,-180.4341177900351
24,-447.474272311229,-188.3973261939318
25,-442.65846034475055,-196.37787166430644
26,-437.89864529488295,-204.39199110787013
27,-433.18114832535053,-212.41221341382334
28,-428.4967243886439,-220.49233414994524
29,-423.86308677904947,-228.61589514050866
30,-419.26284556718883,-236.69878067994432
31,-414.70173748384286,-244.75577262109437
32,-410.17581814151396,-252.88359574460628
33,-405.6890678927358,-261.0130531171817
34,-401.2393862006788,-269.1904069026641
35,-396.82246181276093,-277.4305887458031
36,-392.4447929255949,-285.5942403967056
37,-388.10733535821794,-293.7308709152785
38,-383.79614917492864,-301.9310579244993
39,-379.5248453661301,-310.14906937014894
40,-375.2865685749435,-318.40142129841115
41,-371.07605333959924,-326.632090545907
42,-366.902265796312,-334.9007867069595
43,-362.75398312189566,-343.16769744791964
44,-358.6352528748572,-351.5099937361665
45,-354.53086526797586,-359.7960517767933
46,-350.47507920404485,-368.09926931525115
47,-346.4383051366965,-376.50489269043464
48,-342.43447960493563,-384.9018013561508
49,-338.4584632349729,-393.2800614675434
50,-334.5180898430136,-401.5996422309181
51,-330.59900595999886,-410.028934189555
52,-326.70772737513676,-418.4390809494507
53,-322.8389254385672,-426.8603225399056
54,-319.0049923317191,-435.2532928033834
55,-315.1960979147127,-443.6815794215363
56,-311.41009079301807,-452.19139129078394
57,-307.6476102396421,-460.651425130367
58,-303.92106269427893,-469.18398514582805
